 	dei	genitori	</S>
à	0.85156933	0.0717762165	0.0766544885
t	0.63457804	0.1333806455	0.232041355167
t	0.588933176667	0.1312952305	0.279771616056
u	0.718225025556	0.106575392167	0.175199609685
s	0.442591826185	0.174466807389	0.382941389895
g	0.166498183062	0.32450416913	0.508997659965
e	0.0975097576873	0.402370656377	0.500119603322
n	0.0569144364624	0.394727198792	0.548358384441
i	0.0223306510541	0.455081196264	0.522588178147
t	0.0103496622647	0.536318332088	0.453331992716
ò	0.00373134190823	0.652190177363	0.344078417572
r	0.00176437827608	0.583653175788	0.414582402524
u	0.00157671629203	0.308378401929	0.690044877508
</S>	0.00159650334602	0.171743515964	0.826659988754
