 	sta	seduta	nel	giardino	nel	giardino	</S>
s	0.567454225	0.02512863747	0.037936166315	0.03436900235	0.01097636285	0.0103468207	0.313788875
t	0.552079125	0.04287129549	0.0430821367717	0.03607386645	0.0116984421167	0.00823155816667	0.305963598
e	0.536432005	0.27613852383	0.0486839115906	0.0165791814833	0.00582165887223	0.00330742355556	0.113037298
k	0.234988523333	0.38386150461	0.14414415853	0.0531668041611	0.0133599072907	0.00580247408519	0.164676635
a	0.112311382778	0.379889131537	0.240131942843	0.066676693387	0.0153004050969	0.0065513108284	0.179139169333
m	0.069302487926	0.354808470512	0.253798117614	0.0682817597957	0.0151060013656	0.00660264207613	0.232100570778
m	0.145640559642	0.218222423504	0.270892322538	0.0852683015986	0.0157660940219	0.010060688692	0.254149619593
è	0.260265353214	0.215024037835	0.292827367513	0.0845754988662	0.0099403939073	0.0279414588973	0.109425862531
n	0.198189313405	0.152331020945	0.329757392504	0.169095196289	0.0261662179691	0.0448217652991	0.0796390825103
i	0.0893071668017	0.074847571315	0.504257520835	0.204659548763	0.0398768349897	0.0309891467664	0.0560622231701
s	0.0364847432672	0.0373861613383	0.467304801612	0.179722706254	0.0355869256632	0.0298874839221	0.213627205057
t	0.0208548237557	0.0163729756794	0.302334895204	0.279566745418	0.0529248572211	0.0340625686407	0.293883148352
o	0.0211253309186	0.0115850487265	0.246293328401	0.374354208473	0.165134190407	0.0290016472136	0.152506229451
g	0.0180787166395	0.0153856697422	0.141140416134	0.320569809491	0.191732434802	0.0401974104045	0.27289553315
i	0.0411135472132	0.0202963535807	0.104131122045	0.269753436497	0.201435402934	0.0498002708015	0.31346987905
a	0.0468035819377	0.0193361358602	0.0794941366817	0.209881108832	0.365465864311	0.0716510356005	0.207368177683
r	0.0178775052126	0.0108865237867	0.0349477628272	0.110722752944	0.317485956437	0.1229760652	0.385103442561
d	0.0311385217709	0.00809041359557	0.0188439925424	0.111548320981	0.174378283812	0.250543905067	0.40545652752
ì	0.0697945589236	0.00838001536519	0.0176144935141	0.119282286994	0.186052534604	0.356403385022	0.242472699173
n	0.0772380116412	0.0126712607884	0.0146804955047	0.0757376516647	0.155757202535	0.401385171674	0.262530193058
o	0.0535935738804	0.0151313232628	0.0154285218349	0.0443614008882	0.238002025178	0.410267617225	0.223215517686
s	0.0285771156268	0.0111351834209	0.015128964945	0.0258261429627	0.258347929726	0.309140219075	0.351844442562
t	0.0193436865423	0.00812767897363	0.012847743315	0.0166832853209	0.124693601242	0.280803976358	0.537500040854
o	0.0184679821808	0.00482134672454	0.0136200547717	0.0144472244403	0.0752479880807	0.464347542119	0.409047863618
c	0.0149131790603	0.0147310494748	0.0127610099239	0.00990299831343	0.0416349520269	0.46283896404	0.443217864539
ì	0.00993383915343	0.0167657634683	0.00803538558797	0.00600572287114	0.027706747009	0.520578438013	0.41097412818
p	0.0124788221845	0.0125735114661	0.00481135207599	0.00342332125705	0.016667366003	0.678799632671	0.27124601606
o	0.0232635947282	0.013919496322	0.00896360395866	0.00418443045235	0.011208005001	0.654717387557	0.283743488687
</S>	0.0267664338641	0.011113113911	0.0126675799793	0.00599429472617	0.0096340535005	0.669303328778	0.264521189343
