 	sto	e	cucino	</S>
e	0.91041692	0.0231916185	0.0077739801	0.0586175025
s	0.592690344667	0.0324332845	0.0189252157	0.3559511975
t	0.470311552889	0.0884455681667	0.0189959884333	0.4222469131
è	0.49327377763	0.349475032722	0.0116547280111	0.1455964603
c	0.25192090721	0.456918564241	0.0604925546704	0.2306679621
e	0.14452597207	0.480410454747	0.0950957582235	0.279967794033
m	0.0890902444133	0.405591918616	0.311657746074	0.193660071344
a	0.197781153528	0.187048103239	0.388276322025	0.226894407115
r	0.242330761843	0.12364333908	0.219342227342	0.414683652372
è	0.0928005109477	0.0627738010267	0.369603515781	0.474822140791
o	0.0359905011826	0.0346713616756	0.629722788594	0.29961527693
</S>	0.0203558773913	0.0213333828378	0.723830194297	0.234480448465
