 	non	aveva	cosa	a	fare	</S>
e	0.4850878975	0.09453293	0.01086398492	0.003740418165	0.0074293547	0.398345431
n	0.189796188817	0.266017023333	0.115402122973	0.011095242255	0.0071031566	0.410586250333
ì	0.064174123389	0.617744074444	0.144191394491	0.0114564962183	0.00300898651	0.159424881341
c	0.0239008419297	0.746992824815	0.0951538483303	0.00961555553943	0.00505218478	0.11928471501
h	0.0101072732966	0.737926521605	0.10374069611	0.0330451225131	0.00920775059333	0.105972616103
e	0.00493428241887	0.551844755202	0.30106761537	0.086822442171	0.00992072919778	0.0454101344677
t	0.00297969574629	0.215033606067	0.583682338457	0.11951734739	0.0104016050659	0.0683853728226
i	0.00821337885543	0.0817779133557	0.575013229486	0.211119405797	0.0297690776886	0.0941069876075
k	0.0101742446718	0.0597781394519	0.447316419829	0.291223541932	0.0833291225629	0.108178519202
à	0.0037615962006	0.058798414484	0.325762723276	0.366033937311	0.141822174188	0.103821155734
m	0.00226547365687	0.042872750828	0.211893077759	0.370951359104	0.286026258063	0.0859910779113
i	0.00305942721896	0.026291486576	0.120595401586	0.216994359701	0.507527199354	0.12553208597
</S>	0.00363096310948	0.014363965738	0.068145044293	0.145611619851	0.608737719677	0.159510642985
