 	nella	pasta	vuole	sale	</S>
s	0.312452105	0.057769535	0.044620517	0.0493897305	0.535768115
t	0.356926705	0.116359485	0.0541546956667	0.0476057486667	0.424953388333
i	0.456529718333	0.247559005	0.0615711652222	0.0299491480556	0.204390989444
p	0.260273271444	0.237568576333	0.232775285074	0.0661680093519	0.203214886481
à	0.0952136428147	0.305916766778	0.347220108358	0.0725819826173	0.17906751216
s	0.0426339109382	0.400902878926	0.276770502786	0.0476818170391	0.232010874053
t	0.0237320733127	0.364651139642	0.341743420929	0.0354111121797	0.234462218684
a	0.0221132431042	0.285148833214	0.577388973643	0.0259394138932	0.0894095018947
t	0.0157693780681	0.113074500071	0.713209491214	0.0590607646311	0.0988858522982
è	0.00591642174603	0.0443624410237	0.694797030405	0.147292541544	0.107631562766
l	0.00235848520534	0.0202254940079	0.649900376802	0.200446760515	0.127068862922
i	0.00956515566845	0.013074319336	0.463080158934	0.340821120172	0.173459220974
à	0.0117628416181	0.007915933732	0.209895085311	0.643122273391	0.127303888658
l	0.00402665416803	0.00285592851867	0.0743930680037	0.856393957797	0.0623304102193
a	0.00245286675601	0.00114354593756	0.0254463133346	0.692493155932	0.278464122406
</S>	0.002776895578	0.00081170813378	0.0130036318173	0.467757432966	0.515650361203
