 	non	mangiare	la	sera	</S>
m	0.4502342025	0.0399865332	0.14182204135	0.0095313373	0.35842591
i	0.2874332025	0.228315929733	0.146401672783	0.00918107047667	0.328668118667
f	0.227177972847	0.481153159911	0.152904856594	0.00837667786889	0.130387279556
a	0.0809364742957	0.504951233304	0.315962868865	0.0222900322896	0.075859347852
i	0.0323185717986	0.306139314435	0.552557299622	0.0497111727632	0.0592736259507
o	0.0114575406829	0.111942179678	0.562885916541	0.258564126254	0.0551502266502
v	0.0044657979443	0.040660362926	0.365775398847	0.500501915418	0.0885965435501
r	0.00426537108143	0.031377418142	0.442272122949	0.439534788473	0.08255034085
à	0.00394120328714	0.029092746614	0.430618160983	0.498046659491	0.03830128295
i	0.00154208067238	0.0136126737713	0.220055806994	0.723492553164	0.0412969153167
</S>	0.00099359296119	0.00877548188565	0.158896073497	0.779399376582	0.0519354796583
