 	non	sono	andati	</S>
e	0.44806024	0.084491859	0.01065394295	0.456793935
n	0.183539458667	0.342403216333	0.0433906943167	0.430666595
è	0.065247314889	0.707322872111	0.0477591791589	0.179670599813
c	0.027207980963	0.834212370704	0.0299947501063	0.108584844751
h	0.012458049021	0.790305670235	0.108492672702	0.088743569917
u	0.00639124717367	0.548479415078	0.231024297567	0.214105031639
n	0.00393334745789	0.240275644693	0.355685932522	0.400105077213
e	0.00266061055263	0.0976577829643	0.515430760841	0.384250835738
p	0.00226041045754	0.0365575953881	0.671329836947	0.289852135246
a	0.00187603172585	0.0154900283494	0.707600928982	0.275033001749
m	0.00186222224195	0.00751546720313	0.726439392994	0.264182920583
è	0.00103230609398	0.00517091666771	0.743073547665	0.250723226861
n	0.00100408857799	0.00397321962257	0.759601415888	0.23542123562
a	0.001057975326	0.00311911224086	0.560096322963	0.43572654854
</S>	0.000828265713	0.00175825167043	0.307239887982	0.69017357427
