 	i	bambini	non	possono	mangiare	il	gelato	prima	che	che	mangiano	</S>
t	0.922219075	0.0532694085	0.00051935557	0.000484610575	0.00061938435	0.000557057762	0.00502306535	0.00118952675	0.00056188306	0.000414098305	0.000695324445	0.014447154
a	0.617870672667	0.348790162833	0.00533210208	0.00265553140833	0.00162175731667	0.001426867954	0.00575561265	0.00375138561667	0.00061932682	0.000456047048333	0.000499149385	0.0112213341
p	0.259741555222	0.433891803611	0.0357408055267	0.0721567963361	0.0191943738722	0.00844623388467	0.125292160417	0.00684598620556	0.000640672873333	0.000459036062778	0.00541785158167	0.0321727394667
e	0.130490074977	0.474473150537	0.0488272685089	0.0971180014454	0.0244700412907	0.0100672797282	0.163138263316	0.00523173865852	0.000570078473111	0.000398540159926	0.00701780198689	0.0381977725522
d	0.152508631562	0.506768560179	0.0347807821696	0.0463018801485	0.0162426664302	0.00897771634273	0.183839504282	0.00806194314284	0.00062896460637	0.000548209258975	0.0052403904553	0.0361007502474
ì	0.159802369546	0.491061296726	0.0463968433899	0.0383604623828	0.0144805246767	0.00886573301424	0.190502864954	0.00907955041428	0.000662232664457	0.000606276344992	0.0046806855531	0.0355012131325
a	0.0546264351073	0.538607918909	0.19748416113	0.0536408794609	0.0203401847589	0.0100267802381	0.0800761705113	0.0267879408381	0.000630138850486	0.000631550840331	0.00247202735237	0.0146758714275
e	0.0219267274691	0.273615116303	0.300070920377	0.10400047982	0.080400488253	0.0304798324127	0.0635634515038	0.0986196502794	0.00335215281683	0.00495496118011	0.00516533655079	0.0138509488092
s	0.00997733655637	0.107203661434	0.181437734792	0.24513203994	0.142139859418	0.0429047204709	0.0499198468346	0.102112889093	0.00809804160561	0.0109846407267	0.0298957728503	0.0701935339364
ò	0.00374089071879	0.063697566478	0.162902046264	0.39602411998	0.136828078139	0.032686600157	0.0286583862782	0.039296392031	0.00731735516854	0.00895138327557	0.0355597537168	0.0843374805455
z	0.00377751697293	0.0511873421593	0.212108145421	0.39099409666	0.0983208243797	0.0221696713857	0.0905431024261	0.017307669677	0.00302931554618	0.00357698739186	0.0224879273389	0.0844974160818
u	0.00373322533431	0.0227162707531	0.146841315807	0.313426708887	0.169729638127	0.0946776001286	0.133816687475	0.0105962932257	0.00200380587206	0.00214669499729	0.0173073830896	0.0830043872973
n	0.00165194412144	0.0107578672844	0.0684940166023	0.322294042962	0.287877489376	0.14130902671	0.080658508825	0.0133658767419	0.00637132712402	0.00434989993243	0.00954910450653	0.0533209260358
e	0.00144623620715	0.00656404736147	0.0291198765341	0.305611977654	0.398594729792	0.128686322237	0.052163954275	0.0140169207806	0.00736905450801	0.00481032167748	0.00726518926884	0.0443513967453
f	0.00117628383572	0.00402845428716	0.0133738583447	0.243253722551	0.496352933264	0.132876242746	0.0398661210917	0.0130189361269	0.00683012796934	0.00525956292583	0.00849193135628	0.0354718536484
à	0.000578450711907	0.00323841606239	0.0080420115149	0.257816257517	0.513818311088	0.118560266249	0.0222976024972	0.0123892992423	0.00759551422311	0.00709417844194	0.0134034991188	0.0351662228828
i	0.000454990203969	0.00170421678746	0.0065723091383	0.204067341839	0.550501647029	0.153157452083	0.0311143216324	0.0156218052808	0.00451669294104	0.00554831801398	0.0101426106729	0.0165983209609
t	0.00043509531799	0.00161721176249	0.0040963475461	0.0994069899463	0.588130882343	0.193375174028	0.0381085708775	0.0202439854269	0.00673743978035	0.00844808073799	0.012624876191	0.026775377987
o	0.000530673055997	0.00168929026416	0.00240919951537	0.0518381303154	0.513274677448	0.301133691343	0.0435440472925	0.0220458824756	0.00836115852678	0.0102834133793	0.0140732000637	0.0308166516623
g	0.004667424252	0.00123230076472	0.00237348367179	0.0321101637718	0.361505282483	0.296098240448	0.185807109097	0.0286469614919	0.00498459770893	0.0073081005931	0.0225592076879	0.0527071305541
e	0.00616585205067	0.00117818095491	0.00258299302393	0.0265400365906	0.302342180828	0.317548423483	0.217719079699	0.0285041294973	0.00412813483631	0.0063868431977	0.0261788814626	0.0607252548514
l	0.00252832934022	0.00116679675164	0.00183720590131	0.0181187211969	0.275529666943	0.347312324494	0.097817598233	0.0210296881658	0.0165996137788	0.0478027197326	0.0971977827209	0.0730595376171
à	0.000923832371407	0.00108815688388	0.00115405189377	0.0216501060656	0.241189628981	0.285208981498	0.0546401087443	0.0151024927219	0.0283366352596	0.0802043632442	0.17491120424	0.0955904158724
o	0.000430133751802	0.00124175562796	0.00220151593126	0.0258925073552	0.236322672994	0.352765763833	0.0664760739148	0.0222745082406	0.0240467957532	0.0587751010814	0.141262461413	0.0683106329575
p	0.00612105564393	0.00135310510932	0.00300944524375	0.0182577077851	0.165099654331	0.268725411278	0.283861214638	0.0356613304135	0.0136612848177	0.0323721786938	0.0958943171377	0.0759832186525
r	0.00884200161464	0.00252790570311	0.00322507761458	0.033582654595	0.106716033444	0.221575480426	0.317991173879	0.0363721234712	0.0141028545059	0.0195295492313	0.114927015713	0.120608092884
ì	0.00389878233488	0.00289211700104	0.00285136507153	0.0415780445317	0.079561716148	0.214519978475	0.135418965293	0.0279543594904	0.0280252681686	0.0449066344104	0.281822568571	0.136570174295
t	0.00176506924163	0.00141908351701	0.00178491229051	0.0200162221772	0.0354562290493	0.0977777581583	0.0961581467643	0.0166304283635	0.0239243675895	0.0471869048035	0.416621212857	0.241259648098
a	0.00210144101388	0.00100678462234	0.00198365859684	0.0107337363924	0.0225362516831	0.0672317097194	0.167761135588	0.0699692419878	0.0128713503965	0.0201170102678	0.360346877619	0.263340809366
