 	il	cibo	vuole	mangiato	appena	lo	cucini	che	è	più	saporito	</S>
o	0.56039064	0.4213006	0.00521613845	0.00053782903	0.0007900963	0.000814780735	0.001447714465	0.000239285	0.000249032019	0.000320775252	0.002260864165	0.00643222985
m	0.263645401667	0.40866767	0.116737131917	0.02477793023	0.0179349825333	0.00343979707833	0.002002240965	0.000543112866667	0.00159173078567	0.000602512618667	0.0194987249983	0.140558796517
a	0.097039995389	0.461273676667	0.166356878639	0.0332043418433	0.0234192867578	0.00397598297944	0.00215997259833	0.000575823375556	0.00203831339189	0.000695300742456	0.0252186330208	0.184041843606
r	0.0395809946297	0.738089672222	0.113489237546	0.0155001853811	0.0111827784993	0.00419142327981	0.00152543827611	0.00183309697852	0.000937886693963	0.000320498337052	0.00850569134827	0.0648431386353
ì	0.0200926152099	0.808170037407	0.117956271182	0.010219030927	0.00727392274643	0.00430555969327	0.00144096684537	0.00224536943184	0.000578726851321	0.000200602258684	0.00294037047276	0.0245765455351
o	0.00835069826997	0.704201692469	0.246767205727	0.015042203109	0.00889963282881	0.00377194883109	0.00210797056846	0.00100472771628	0.00032559826044	0.000116942732561	0.00101965100425	0.00839170557837
t	0.00431128398999	0.386513900823	0.492432578576	0.048670337703	0.0186498066096	0.00877413227703	0.00326611285615	0.00338334590543	0.00143472624348	0.000404846450854	0.00127629741142	0.0308825956028
è	0.00191227329	0.194730873608	0.651697469525	0.0738169925677	0.0190768848699	0.00946824742568	0.00311930271872	0.00412676676848	0.00181612732449	0.000511087546951	0.00137721707047	0.0383467465209
l	0.00136102492333	0.143628161203	0.698330323175	0.0777601741892	0.0197822759566	0.00673028774189	0.00326693043957	0.00217532178949	0.0040232187515	0.00305756085898	0.00289536279016	0.036989356827
i	0.00129252552111	0.0746510627343	0.649605861058	0.138612861396	0.0635454693189	0.0161092011806	0.00466816944652	0.00239993006316	0.00527689808383	0.00402984731966	0.00336715136005	0.0364409983757
f	0.0012008717537	0.0300055824781	0.568254373686	0.196130287132	0.0878585631063	0.0259160960602	0.00587940781551	0.00885577942105	0.00691644052794	0.00262390160655	0.00376790511668	0.0625907522252
a	0.0018259494179	0.014087042726	0.440863244562	0.298327272377	0.114913554369	0.0250447033534	0.0082612987385	0.010798362807	0.00793735417598	0.00245041240218	0.00399175837223	0.0714990228284
m	0.00906584970597	0.00862098790867	0.273002124854	0.319063040792	0.14644085479	0.0211249911178	0.00982612724617	0.00521234923567	0.00706620272533	0.00322207976739	0.0148724864574	0.182482913029
è	0.010685859162	0.00578225796956	0.189710668285	0.396005990264	0.112384290263	0.0168317660393	0.0116377264154	0.00422362817856	0.00889307590844	0.00475218482246	0.0188812312858	0.220211362343
n	0.00658885864733	0.00372818872319	0.153523226095	0.470398556755	0.0894961037543	0.0143500076798	0.0142678404718	0.00499879112619	0.0185634726361	0.00835764927415	0.0336393445619	0.182087998781
o	0.00582565548244	0.0031180308744	0.089618831365	0.299600535585	0.282883082918	0.0481826012266	0.0192907338239	0.00842571230873	0.0256456448787	0.010649449258	0.0381517777306	0.16860794294
a	0.00282262720415	0.00254134155813	0.036391200955	0.153805222862	0.545084867639	0.116867900409	0.021707558608	0.0176891864362	0.0216170669596	0.00981465091933	0.0135511866535	0.0581071551933
