 	stava	ancora	cucinando	</S>
ì	0.86790505	0.0064288491	0.0143593343	0.1113067562
s	0.661166643333	0.0091253957	0.0867027601	0.243005212067
t	0.676250631111	0.0074954749	0.101782274787	0.214471603279
i	0.646009667037	0.246014380633	0.0349559769157	0.0730199589163
g	0.305201125179	0.350177433544	0.246322309539	0.0982991082054
g	0.404266511226	0.147286633181	0.319055612846	0.129391211402
h	0.734384237075	0.085811369727	0.110958478849	0.068845954334
e	0.544063828792	0.392059309909	0.0388935924497	0.024983349678
a	0.188903862031	0.477871465636	0.149767575417	0.183457129593
n	0.074938465677	0.175001306912	0.197276601806	0.552783596531
k	0.360618597559	0.0589072406707	0.0771417780187	0.503332347844
ò	0.758500349186	0.0352133812236	0.0288252974229	0.177460984948
r	0.620926029729	0.138846862408	0.129242326474	0.110984824983
a	0.448754406576	0.210522500803	0.211670102158	0.129053028328
m	0.334059142859	0.124793907268	0.399582960719	0.141564012776
a	0.31921167162	0.057205131756	0.45446927024	0.169113944259
r	0.317037337207	0.032724379652	0.23168282508	0.41855546142
è	0.118672276402	0.011658719464	0.257418380027	0.612250620473
o	0.052836019134	0.0106906570013	0.422060546676	0.514412783491
n	0.0262752447113	0.0102781516771	0.342664180225	0.620782451164
t	0.0269376235704	0.00689087656903	0.248779014742	0.717392510388
a	0.0377708911901	0.0238176631897	0.338531051581	0.599880383463
</S>	0.0388044755951	0.0393422015948	0.365458310791	0.556394991731
