 	io	non	ho	niente	da	mangiare	</S>
e	0.99035835	0.000530369826	0.000142352528	3.10718675e-05	3.82056375e-05	0.00021557404675	0.00868414825
v	0.662362540333	0.001331265642	0.00712324061933	0.259983218189	0.0151272652545	0.0113019038156	0.0427706054167
ò	0.296734233778	0.241978372881	0.0289070045398	0.34866081973	0.0201707179382	0.0148802796485	0.0486686175956
e	0.338036941259	0.39586362096	0.0584999468466	0.123826643577	0.00750327516607	0.00810573392617	0.0681638849885
n	0.31320442042	0.238100118653	0.235408092282	0.0870899211923	0.00502006985536	0.00835239684206	0.112824996996
è	0.177500246807	0.203707227884	0.354653280761	0.175905907064	0.00542645728512	0.00614002388069	0.0766668652653
c	0.102433346269	0.205824469295	0.29905167692	0.268094865688	0.00681888596171	0.0113820193602	0.106394712688
h	0.0369075901897	0.121185690765	0.23554481564	0.467642148563	0.0106059549872	0.0124485849534	0.115665179243
o	0.0179228408299	0.0544633905883	0.17796191188	0.570199846188	0.118226630996	0.0103694451511	0.050855924761
t	0.0130933691433	0.0256093726628	0.131263555293	0.525591965396	0.171499743665	0.0356699410504	0.0972720449203
ì	0.0111790015811	0.00967967535427	0.0662767077643	0.629791305132	0.119896941222	0.0560581953501	0.10711815964
p	0.00877021364703	0.00545393528476	0.0573756172548	0.754820105044	0.0862720787407	0.03832793345	0.0489800635467
o	0.00382503816901	0.00411074796159	0.0512387718849	0.588005511681	0.23787728458	0.0765640778167	0.0383784921822
t	0.00324796835634	0.00252004585386	0.0223897084283	0.28152508056	0.379381838193	0.151669995939	0.159265316061
i	0.00556108691878	0.00198379851795	0.0121457380094	0.137199220187	0.284041319398	0.320614818646	0.238453968687
n	0.00663138797293	0.00140818048598	0.00699554053647	0.0606340033957	0.209759906466	0.467390512882	0.247180436229
a	0.00738596199098	0.00110227044199	0.00443880374549	0.0332239144652	0.142022070155	0.564300034294	0.247526948743
f	0.00695617063033	0.000936008280663	0.00303717471516	0.0213912159884	0.0942938380517	0.639366801431	0.234018789581
à	0.00336397012344	0.000547333616888	0.00212146229172	0.0183209648295	0.0699973193506	0.714769467144	0.190879496527
o	0.00176177492115	0.000441522362296	0.00248505625057	0.0195361266098	0.0401240951169	0.818024355715	0.117627088842
</S>	0.00142788136058	0.000545563781148	0.00342480662528	0.0205053633049	0.0317920655585	0.821992527857	0.120311794421
