 	forse	non	li	ha	a	casa	</S>
f	0.986398275	0.0005402390775	0.0005515983915	0.001995939985	0.000451599195	0.00035938919	0.00970290275
ò	0.982840358333	0.0042204283925	0.000650155443833	0.002027512815	0.000460408290667	0.00034851266	0.00945258719333
r	0.805721312778	0.0253944001308	0.0199532574613	0.060564035425	0.00594154345589	0.00419788339	0.0782275303411
s	0.736165127593	0.0367257687103	0.0277583240204	0.0844166661417	0.0084006337853	0.00546151087333	0.1010719458
i	0.683377089198	0.179118786237	0.0394752995401	0.0485394897139	0.00817297556177	0.00304618526778	0.0382701569533
e	0.404071706399	0.264683842079	0.11784601318	0.0597590019046	0.0183235831873	0.00849472132259	0.126821134984
t	0.231359493466	0.135273207126	0.124602671727	0.171688275968	0.0307097140624	0.0239586594409	0.282408001661
u	0.161351289155	0.0708096988087	0.215750467909	0.251631355323	0.0367338690208	0.0259855688136	0.237737750554
s	0.126489399718	0.0494092290696	0.24472566697	0.250369711774	0.0390770930069	0.0241585972712	0.265770270185
è	0.0953857865727	0.0246672984899	0.164802403323	0.334704203925	0.0753492610023	0.0364644030904	0.268626632395
c	0.0590915103242	0.0416644154966	0.174105047774	0.457157834642	0.0876726883341	0.0382497273635	0.142058779798
h	0.0228432943414	0.0412799725989	0.118074453925	0.601563448214	0.099004120778	0.0238072327878	0.0934274722127
i	0.0116934375471	0.0154483340996	0.0924454226417	0.552458819405	0.272123696926	0.0180028559293	0.0378274653509
è	0.00749669764903	0.0064302582332	0.0747016782139	0.341543996468	0.433192292309	0.106320687643	0.0303144094503
s	0.00366391044968	0.0053086731444	0.0482479810713	0.285524878823	0.351449197436	0.180022862548	0.125782488483
s	0.00344716468323	0.00442109658147	0.0387801320238	0.329238326274	0.274335939145	0.194905094183	0.154872253828
u	0.00750163466108	0.00204876782716	0.0229329996746	0.245791651091	0.247909373048	0.377366071394	0.0964494989427
</S>	0.0109523393305	0.00163456306358	0.0170726923373	0.137406499046	0.195178876524	0.534846835697	0.102908184471
