 	vado	trovando	un	forno	che	fa	pane	buon	e	non	so	dove	è	</S>
i	0.8754006	0.1075938635	0.00068271734	0.00030377436	0.000139847505	0.000181232915	0.000248656715	0.0010218281	0.0016691248	0.0002456797235	0.0003059308724	0.00047878438865	0.0017019364365	0.01002603
p	0.556955548667	0.1430703695	0.0528028624133	0.127707314667	0.006126045105	0.009701318025	0.00641054941167	0.0063853746	0.00512670913333	0.000964723330167	0.00201659968573	0.00049321778865	0.00184885520317	0.0803905113333
à	0.341675018222	0.259771618167	0.0759786528044	0.170129243846	0.00809336919833	0.0129327692183	0.00851123857056	0.007988629	0.00632313949444	0.00120909656339	0.00259746435858	0.00050402368355	0.00195645300439	0.102329264911
o	0.290045161407	0.489295036056	0.0442103846015	0.060673057572	0.00435619772944	0.00571306578277	0.00578467595685	0.0061287518	0.00255656988148	0.00056171430113	0.000960796306193	0.000240223815183	0.00117606387146	0.0882982761037
v	0.120952332802	0.528996942019	0.0560501412005	0.126968699857	0.00742824640981	0.0123277850943	0.0112688416523	0.00849312793333	0.00451864922716	0.00124552579371	0.00161903225873	0.000334599871728	0.00146980019049	0.118326238701
r	0.063753067934	0.584641744006	0.0799009650668	0.148031715286	0.00716191506994	0.0136822565648	0.0108666121841	0.00723721697778	0.00488268375905	0.00135257380457	0.00177476766458	0.000307362997909	0.00112807224916	0.0752790308003
ì	0.0497724783113	0.694341298002	0.127928715022	0.067181893762	0.00920227228998	0.0060904537216	0.0066290664947	0.00884906065926	0.00188246653635	0.00057134398819	0.00070254959986	0.000197192593303	0.000649278802053	0.0260019356668
s	0.0300860687704	0.578904259334	0.131013055007	0.067091146254	0.0120115120967	0.0136118835739	0.0158702646316	0.0122006088864	0.0111417214455	0.00148073897606	0.00654503966662	0.00224266061777	0.00196147483402	0.115839559389
k	0.0338139699235	0.429544446445	0.234445265002	0.0559968940847	0.00682251706557	0.018222586858	0.0182552783772	0.0136839632955	0.0242334411485	0.00217741682535	0.0113838235555	0.00347749703926	0.00231117537801	0.145631744963
o	0.0301956381078	0.279458517148	0.445494588334	0.0991916383616	0.0123115153885	0.0191957379527	0.0135029669591	0.0179086684318	0.0202691992162	0.00180488040845	0.00711210085183	0.00194088181309	0.00105852647934	0.0505551489543
n	0.0125162157693	0.130825321383	0.436147019445	0.145238669454	0.0156995424628	0.0477180026509	0.0489916549864	0.0288960561439	0.0229711419054	0.00458664136948	0.00858502928394	0.00420909357103	0.00227495174645	0.0913406317848
t	0.00599670385643	0.070473485461	0.346620996482	0.220245299818	0.0137439018209	0.072971874217	0.0825827369955	0.0326231803813	0.0256605506351	0.00578363278983	0.00945712486131	0.00503516205701	0.00272145219548	0.106083880595
a	0.00398793788548	0.0347669008203	0.253445113494	0.425481219939	0.045914505607	0.0686641880723	0.0730124033318	0.0278476597938	0.0139122478784	0.00351788542994	0.00428411465377	0.002127258519	0.00143935067849	0.0415992271983
n	0.00331903432849	0.0138957886068	0.152938042498	0.38158414998	0.0527675965357	0.0726185093574	0.0871274854439	0.0691129325979	0.0241144449595	0.00496834330998	0.00940318815126	0.005580135473	0.00505797139283	0.117512399399
a	0.0033415111095	0.00648285616893	0.102936400833	0.362934063327	0.0523974335119	0.0836771364525	0.101597341815	0.0832862761993	0.0283463053198	0.00571863720333	0.0114379213171	0.00698501652433	0.00664741729761	0.144211699133
f	0.00313805590317	0.00350666978964	0.058115823611	0.349275544442	0.0513042086706	0.0822255688175	0.0953792572717	0.0772500873998	0.0300286531066	0.00606189183444	0.0134021953724	0.00885006087478	0.0114572042659	0.210004802378
u	0.00369162160106	0.00233697776321	0.036360493537	0.313353448147	0.0578066170569	0.0977513096058	0.100618960757	0.0741015351333	0.0335782043689	0.00709551994481	0.0152996192241	0.0103279051583	0.013785993422	0.233891830126
r	0.00353209590035	0.00157084192107	0.0222734888457	0.298494885049	0.0597929512523	0.110506661535	0.114213761919	0.0841970743778	0.0335742697896	0.00778696564827	0.015024766508	0.0107830782528	0.0153286381407	0.222920549375
n	0.00181664286678	0.00113117509702	0.0150004394819	0.238240580683	0.0374974536508	0.145228375512	0.151612123973	0.0878166447926	0.0387060835965	0.00793174668276	0.016624468836	0.0116335658509	0.0198338260469	0.226926891458
o	0.00133810255559	0.000858691989007	0.00826539129397	0.282307226894	0.0692373955503	0.194415218504	0.235296464658	0.0417397455975	0.0281381631988	0.00774482836092	0.0119442869453	0.00824936438363	0.014251905349	0.0962132271527
