 	se	vieni	alle	sette	sto	ancora	cucinando	</S>
a	0.4600760465	0.0256583705	0.0329930756	0.04001862425	0.00143401848	0.028211767	0.0630869415	0.348521145
n	0.158972760977	0.221230528167	0.0901133268667	0.04743436675	0.00568135196	0.0255922941133	0.0597472065	0.391228181667
è	0.0531754458837	0.604695726056	0.0894487751222	0.02455216015	0.00653432638	0.0090259357511	0.0231110188567	0.189456630702
r	0.0185229357759	0.673696758685	0.0874317978741	0.01681356495	0.00506245018667	0.00435530235037	0.0322781553089	0.161839053714
k	0.00697467887863	0.690002319562	0.090567964958	0.01411387835	0.00806907539556	0.00257741853512	0.035142688373	0.152552019161
e	0.00237084796421	0.658883106521	0.197601837319	0.0650913004833	0.00971195179852	0.00360836709671	0.0117725373277	0.0509601124437
s	0.000936404439403	0.392986845507	0.395311825773	0.107694380161	0.0196009445995	0.0053768825989	0.0064362963759	0.0716564389479
e	0.000615530129801	0.256614808502	0.496047851924	0.123465630054	0.0236025935332	0.0151792570996	0.0052048608253	0.079269455216
s	0.000512135859934	0.162892942834	0.540038473975	0.148463430018	0.0360904541777	0.0193657060332	0.00681785830843	0.085819003972
e	0.000522708553311	0.0918425256113	0.543230147992	0.191221350006	0.0465791320592	0.0295027603444	0.00847404293614	0.088627361224
s	0.000520281504437	0.0549555065371	0.474383445997	0.220292016669	0.0722915546864	0.0337127041148	0.011787591812	0.132056926975
e	0.000597753821479	0.035022302179	0.371305098666	0.26929973889	0.0988541748955	0.0609272193716	0.0161275899373	0.147866132992
t	0.000606398040493	0.025682179393	0.276147909555	0.282065526297	0.139605278299	0.0711021314572	0.0214775689791	0.183313034997
t	0.000377672950164	0.0175296627977	0.185720283185	0.196351432099	0.2224416361	0.0787979588191	0.0991916886597	0.199589673332
à	0.000226781986721	0.0154282312659	0.123415510395	0.1602417407	0.358209515367	0.126190006273	0.128844952887	0.0874432381107
s	0.000990721395574	0.0172653387553	0.0729208337983	0.108022891233	0.457647915122	0.121290465424	0.0929816959623	0.128880134704
t	0.00128872697519	0.0221868122518	0.0467344409328	0.047708479411	0.571306495041	0.094879593808	0.0758129326541	0.140082536235
e	0.00140958870173	0.0228899717506	0.0361235969776	0.0385430344703	0.512305655014	0.264049679936	0.0567938065514	0.0678846860783
a	0.00144018950391	0.0186456012502	0.0388206309925	0.0399200824901	0.240137016671	0.406916259979	0.193294742184	0.0608254580261
n	0.00077033013797	0.0119598819167	0.0311574816642	0.0280179861634	0.135760460557	0.248790173326	0.228387190728	0.315156476009
k	0.010073701946	0.0194149371389	0.0295005632214	0.0175949487211	0.308382643519	0.0883860947753	0.0978182989093	0.42882884867
ò	0.0193441753153	0.118797894046	0.0436312844071	0.0406101552404	0.482216704506	0.0358994805918	0.0443412707698	0.215159069557
r	0.0275913157718	0.170965581349	0.0689644511357	0.0461424637468	0.362007271502	0.134195465531	0.0679703593899	0.122163099852
a	0.0310922232573	0.121002832116	0.116347738712	0.0466933232489	0.192180213834	0.25619017851	0.115854517797	0.120638989951
m	0.0201827114191	0.075225293372	0.113559880904	0.0449147193496	0.0930720560113	0.195921612837	0.346632057266	0.110491673317
a	0.011706692373	0.0842416754573	0.094814514968	0.0407682947165	0.0591749000704	0.106920540946	0.452866152422	0.149507207772
r	0.006296746471	0.0863674604858	0.0807056859893	0.0405164539055	0.0506535146901	0.0602463241153	0.303693494141	0.371520302591
è	0.00224008859367	0.0392497618286	0.0359898614964	0.0160564070352	0.0410438008967	0.0230736041718	0.28849460138	0.553851884197
o	0.00081386461889	0.0290178329429	0.0167050609988	0.0073338792784	0.0421921276322	0.0129159727239	0.418244327127	0.472776938066
</S>	0.000432276455945	0.0268479354715	0.0127310634994	0.0055200699392	0.0334508728161	0.011263164862	0.534260213563	0.375494384033
