 	l	ho	sentito	che	veniva	</S>
o	0.92098567	0.070140513	0.0001107365075	0.0001173633765	0.000328093913	0.00831769015
n	0.632648543333	0.207543146333	0.0234032419025	0.0238698006322	0.0245814830263	0.0879538478167
ì	0.245956096111	0.544825348778	0.0314789579675	0.0318410809674	0.0331213074421	0.112777206172
k	0.39377626037	0.526504537593	0.0119569923892	0.0113864410458	0.0121479056807	0.044227835624
u	0.445353683457	0.314050220531	0.0923179778631	0.0974934703153	0.0177700686602	0.0330145885413
s	0.192702325819	0.287134236844	0.165146892621	0.189806103438	0.0256287298867	0.139581709514
a	0.15856885994	0.182079471948	0.120255639874	0.179705114479	0.134348010296	0.225042869838
k	0.169310243313	0.0725869819827	0.0615358696247	0.15199692616	0.223584496765	0.320985456613
a	0.192670387771	0.0312661326609	0.0284429245416	0.10091386872	0.296329188922	0.350377505538
è	0.159444970987	0.0133603549536	0.0142037338239	0.0495645955733	0.578885176307	0.184541192513
r	0.053624206259	0.0058991620512	0.00547358241797	0.0236463225244	0.823852358769	0.087504387171
k	0.0197532826197	0.00273857821707	0.00327408763932	0.0105612816748	0.912135352923	0.051537435057
a	0.16416495054	0.00180316170569	0.00261150351311	0.0053137446916	0.703353747641	0.122752898686
t	0.235313683513	0.00443481666856	0.00252263547104	0.0055262571972	0.521043512547	0.231159076229
o	0.180519954504	0.00505130918952	0.00211818729035	0.0051807386824	0.407483337516	0.399646468743
</S>	0.206730942252	0.00294462804476	0.00141882584517	0.0029275602662	0.236670268758	0.549307784371
