 	che	non	li	aspettiamo	</S>
n	0.4463821355	0.030430974	0.0234230795	0.00458544415	0.495178349
a	0.629861445167	0.0465308133333	0.0383173165	0.00900893938333	0.276281469
m	0.402878685056	0.0849909754444	0.261200304167	0.0426327767944	0.208297255667
i	0.147030719352	0.142300038481	0.371474418056	0.0693492805981	0.269845551222
t	0.0903648441173	0.24015988616	0.268759646019	0.052447110866	0.348268500407
u	0.0651953986391	0.236002125387	0.392029248673	0.062185205622	0.244588010136
s	0.0718598734797	0.135518865129	0.420911272891	0.0724887532073	0.299221230045
m	0.0739480577266	0.0792289297097	0.47053678763	0.0996240677358	0.276662139348
ì	0.0256459722955	0.0338492202366	0.627962792543	0.141674269245	0.170867745783
n	0.0088364327985	0.0158777747455	0.711058624181	0.127820249748	0.136406965261
o	0.00369062444617	0.0104710602485	0.600591971394	0.196624729916	0.188621655087
m	0.0183997344487	0.0084901957495	0.460458253798	0.285266629972	0.227385191696
e	0.0237579571496	0.0114476985832	0.357021594599	0.305300986657	0.302471783899
</S>	0.0134967045748	0.0156716502916	0.2176420423	0.320501478329	0.432688161949
