 	si	è	rotta	la	coppa	</S>
e	0.961299025	0.0187881405	0.000362300775	0.000576101575	0.0024792962	0.0164951299
g	0.633016219333	0.0198473800333	0.0387890015917	0.0248549666583	0.0515938034	0.231898646633
l	0.287215384111	0.259015523211	0.0581123961972	0.0335207932194	0.0673940149433	0.294741892378
à	0.215534698037	0.56828423107	0.0748549610657	0.0175451054065	0.0242955844578	0.0994854337593
s	0.134125407679	0.479161847023	0.119205283689	0.0132768928022	0.0293048094859	0.224925787386
t	0.0703860395597	0.272136459008	0.33981919123	0.0212561419341	0.0304511243286	0.265951011929
i	0.0350841825199	0.147624083003	0.563263763743	0.139359057311	0.0238769402762	0.0907918787763
e	0.0157452180733	0.0527272957677	0.395158876581	0.391422729104	0.0882591167587	0.0566866982588
c	0.0067296983911	0.0187805092559	0.149215147194	0.379451123035	0.269797392253	0.176026112753
ò	0.00358136683037	0.0070226949853	0.0813351200647	0.223319357678	0.472152417418	0.212589044251
p	0.00230351041012	0.00312841856177	0.0641322520216	0.156802000226	0.406237555806	0.36739625475
p	0.00267738503671	0.00215389942059	0.0979801713405	0.148043044409	0.346903848602	0.40224160525
a	0.0129069900122	0.00191363077353	0.101543029447	0.159192748136	0.558508029534	0.16593555875
</S>	0.0221378800061	0.00174151333677	0.0554918032235	0.111064574068	0.685444084767	0.124120184375
