 	perché	aveva	lavorato	molto	</S>
j	0.8248818	0.080612735	0.005573130925	0.01312276247	0.075809605
a	0.916851753333	0.0435270475667	0.00206816485	0.00459591109	0.0329571280533
t	0.895214737778	0.0878366750889	0.00105475934167	0.00187642608333	0.0140174017378
ì	0.794275845926	0.19464962503	0.00214485838056	0.00130426776111	0.00762543577927
ì	0.652623565309	0.316978851677	0.0174689025935	0.0075852505537	0.00534341879309
c	0.520616888436	0.315029267226	0.0324620628645	0.0253492635179	0.106542440598
h	0.337070317479	0.414003482409	0.0861319849548	0.024919366806	0.137874771009
e	0.143931760493	0.553347754136	0.234069348318	0.0137929802353	0.0548581411463
p	0.074366699331	0.398882421379	0.299369739439	0.0483325240784	0.179048633715
o	0.0604798709437	0.210397432793	0.412838553146	0.0876561546928	0.228628006905
l	0.0519034803146	0.168766333264	0.527827224382	0.120869011564	0.130633954635
e	0.0192777544382	0.138259339755	0.612805498127	0.133978787188	0.0956786008783
m	0.0105580951461	0.0796599599183	0.623336352709	0.154959089063	0.131486486293
ì	0.00663825571537	0.0588852376394	0.589697890903	0.204378946354	0.140399664098
s	0.00319027873846	0.0288725765465	0.631856003634	0.223319828785	0.112761310033
o	0.00255598687949	0.0179738778155	0.441626792878	0.420397216262	0.117446116678
n	0.0043499554265	0.0122566645718	0.198343860293	0.507784512087	0.277265012226
t	0.00958373814217	0.0109659978573	0.0886605490977	0.467716164029	0.423073554075
a	0.00918672238072	0.00570549828577	0.0422393596992	0.636869741343	0.305998668025
p	0.0124740947936	0.00990957109526	0.0522086285664	0.633298053781	0.292109639342
o	0.0134643060312	0.0111819864984	0.0554269278555	0.645501624594	0.274425141781
d	0.0100451891104	0.0106699906328	0.0362394696185	0.710781624865	0.232263712594
d	0.0087838246368	0.0106600290443	0.0311242388728	0.735211791622	0.214220117531
h	0.00984235281227	0.00734306751477	0.0360125049576	0.806400697207	0.140401379177
ì	0.00981412191076	0.00572125931826	0.0349033198859	0.840388965736	0.109172311392
</S>	0.00494372691538	0.00312194037913	0.019574554793	0.882809382868	0.089550363196
