 	vengono	vestiti	</S>
è	0.9578675	0.0013948503	0.04073759295
r	0.87716042	0.0134837594	0.109355739617
k	0.781599536667	0.0555644081333	0.162836023206
u	0.766740488889	0.0860532977111	0.147206207735
t	0.52229495463	0.0817661625704	0.395938849245
t	0.22805180321	0.268805070857	0.503143096415
e	0.108305370503	0.438833903619	0.452860712138
n	0.0502639849343	0.305039706206	0.644696287379
d	0.0294874553781	0.429439317069	0.541073225793
i	0.0112102286594	0.65524109569	0.333548688598
m	0.0047149433198	0.685059731897	0.310225322866
è	0.00202604513993	0.635133477299	0.362840454289
n	0.00106558428998	0.605493692433	0.393440704763
a	0.000800242573327	0.487708557478	0.511491201588
</S>	0.000768937236663	0.309697018739	0.689534050794
