 	non	mi	aspetti	che	non	vengo	</S>
m	0.4831877985	0.01602493945	0.260289466	0.04143825446	0.0105408905	0.0184422075	0.170076459
ì	0.4610061985	0.0269921294833	0.279120623333	0.0415964077533	0.0109050861	0.0202152268333	0.160164280333
m	0.473348274167	0.0516888551611	0.309199785778	0.0223806015178	0.0154325779667	0.0253966849444	0.102553145444
e	0.192003569722	0.340976348387	0.333426988593	0.0175541605726	0.0168698018889	0.0243236815515	0.0748454246813
m	0.0665428262407	0.415106901462	0.363766912864	0.0412365675909	0.0162935655296	0.0354292647538	0.0616239697604
ì	0.0247614156469	0.203009075821	0.549081837621	0.051358110697	0.0285890908432	0.0519547582513	0.0912457532535
n	0.0103469478156	0.127454700607	0.64860139254	0.0334974617323	0.0414101669477	0.0536334444171	0.0850559204178
e	0.00485445773853	0.058303608869	0.486005378513	0.148676887244	0.164148155649	0.0676211914724	0.0703903194726
k	0.00374632307951	0.0346791002897	0.209226652171	0.326678315748	0.216478365216	0.0922651471575	0.116926093158
a	0.00558499175984	0.0209588940966	0.107220781057	0.319055078583	0.242231951739	0.161934212386	0.143014092386
e	0.00550038478661	0.0157110876989	0.043642155219	0.254492732861	0.304948027246	0.227676844129	0.148028755462
n	0.0022803880122	0.0081894866463	0.019479092273	0.194341112954	0.244937149082	0.239390161376	0.291382588487
è	0.0008902635174	0.00307126302877	0.0124441689243	0.086774812318	0.280991979694	0.324983887125	0.290843631162
r	0.000483009629133	0.00145228600959	0.0126689598081	0.0334664896393	0.345727256565	0.459377395708	0.146824608721
k	0.000393281103044	0.000866898543197	0.0103247336027	0.0151494100798	0.269952472188	0.616840531903	0.086472666907
u	0.00138363743435	0.00165683928773	0.00876691053423	0.0079668656266	0.136395455729	0.772218643968	0.0716116196357
m	0.00682704981145	0.0106125449292	0.0175290115114	0.0082176171422	0.066401175243	0.788789767989	0.101622829879
e	0.00878915737048	0.0146745926431	0.0200903818371	0.00784175078073	0.0411875842477	0.721061142663	0.186355403293
</S>	0.00632225283524	0.0108988478216	0.0157446489185	0.00474636249036	0.0228328333738	0.680154021332	0.259301016646
