 	sono	vestita	</S>
ì	0.923888135	0.00067100505	0.0754408385
m	0.658920488333	0.0294483725167	0.311631091833
e	0.358603062778	0.0687744408389	0.572622460611
n	0.242993557259	0.0724953269463	0.684511103537
d	0.093298536753	0.228290632315	0.678410824512
i	0.035096245251	0.443108444105	0.521795321504
m	0.0124978824703	0.596152404702	0.391349747168
è	0.0044082827201	0.528599544901	0.466992212389
n	0.00168191301003	0.491334881634	0.506983210796
i	0.00076431882001	0.439028307211	0.560207350265
</S>	0.000540027245005	0.255530103605	0.743929855132
