 	ha	che	sono	usciti	</S>
è	0.93559533	0.03808757105	0.01550881134	0.0022043791	0.0086038992
n	0.79340404	0.16787300035	0.02475430278	0.00373609636667	0.0102325554
a	0.7359969	0.234805760117	0.0179804210267	0.00333658657656	0.0078803249
g	0.533142309	0.188463700039	0.0862717731089	0.155482700113	0.0366395104
u	0.390904768667	0.15346005868	0.17468409437	0.207141879871	0.0738092154667
ì	0.357541896222	0.10970465156	0.39434914479	0.0746321721237	0.0637722038222
k	0.137707898261	0.07133154852	0.633787448263	0.111253529708	0.0459196226074
a	0.052233370607	0.02968076524	0.452897277088	0.159725494903	0.305463080202
n	0.0300267495357	0.0141193211467	0.198557370029	0.193192349968	0.564104203401
e	0.0395268375119	0.00918831651557	0.111921212676	0.268739843323	0.5706237778
</S>	0.054197428756	0.00550243995779	0.067323265338	0.292303661662	0.5806731689
