 	vado	vestito	</S>
i	0.91404207	0.00148307405	0.084474895
p	0.592093196347	0.15207309635	0.255833735
à	0.523917771796	0.202981837417	0.273100384667
o	0.546513337265	0.0869537157723	0.366532937889
n	0.248435782422	0.118387936591	0.633176299296
d	0.122349477474	0.291080052197	0.586570499765
i	0.067982615158	0.498429037399	0.433588346588
m	0.031933924386	0.636677212466	0.331388848863
è	0.0122577563953	0.599983024155	0.387759236288
n	0.0051288065651	0.568763341385	0.426107902096
o	0.00272312995503	0.464565013795	0.532711924032
</S>	0.00249351237751	0.299158986897	0.698347562016
