 	entrò	da	qui	</S>
m	0.98737913	0.00070516596	0.0030364597	0.008879334
b	0.34987694	0.36563987	0.23916306	0.04532023
ì	0.1713514	0.059742443	0.0030629418	0.7658432
k	0.12812214	0.8016383	0.01746881	0.052770812
e	0.2297925	0.37420145	0.060157888	0.33584815
a	6.721122e-05	0.93626076	0.02839606	0.035275962
p	0.00048336474	0.0320963	0.95721793	0.010202405
ò	0.00014038276	0.0034688138	0.99081635	0.005574394
t	0.0004395883	0.011001558	0.91539603	0.07316274
t	9.081831e-06	0.0009130072	0.98337895	0.015698968
u	0.16869943	0.03128797	0.25562483	0.54438776
</S>	7.5460403e-06	0.00011741524	0.014477473	0.9853976
