 	lo	sentii	che	arrivò	</S>
t	0.6477373	0.022344047	0.00077738287	0.21369725	0.11544396
o	0.9750079	0.013739708	0.0015754057	0.009409299	0.00026782343
n	0.2170303	0.7272527	0.03870786	0.012994425	0.004014697
ì	0.17128296	0.7796705	0.019927267	0.02676086	0.0023583863
k	0.020681798	0.71526897	0.05068963	0.20654984	0.006809832
u	0.009179177	0.8351577	0.056985594	0.09328304	0.0053944206
s	0.0027495518	0.043639567	0.487774	0.3938818	0.07195504
a	3.0482197e-05	0.111253634	0.82273066	0.039148636	0.02683653
k	7.290844e-05	0.0020259193	0.9240791	0.0373212	0.036500767
a	7.742124e-06	0.0057092262	0.86624825	0.09025231	0.03778248
ì	0.00010916226	0.0008000551	0.6611991	0.115609	0.2222827
r	7.6859715e-07	0.00027808713	0.039130595	0.9524713	0.008119236
t	2.4803603e-07	8.423024e-06	0.00057216047	0.9993461	7.298073e-05
e	0.0004922281	0.0121750785	0.031596594	0.3410002	0.6147359
</S>	7.329186e-07	8.3639134e-07	0.00012840582	0.3916422	0.6082278
