 	non	mangiare	la	sera	</S>
m	0.2845278	0.07969067	0.027136745	0.028108489	0.5805363
i	0.26063016	0.60907835	0.08612525	0.04079567	0.0033705186
f	0.07200306	0.8436242	0.07143373	0.008379208	0.004559843
a	0.029671771	0.89192075	0.057996973	0.016329339	0.0040811393
i	0.0045592487	0.4768183	0.45047227	0.049023133	0.019127049
o	0.0010274383	0.12958145	0.8634329	0.004440919	0.0015172742
v	0.00019556913	0.0033335567	0.9595102	0.03538565	0.0015750407
r	8.591866e-05	0.008620379	0.9487592	0.042234827	0.0002996609
à	0.002737773	0.028334273	0.13211145	0.43039885	0.40641764
i	0.0013956111	0.027505966	0.30575508	0.060771614	0.60457176
</S>	1.7207374e-05	1.9623085e-05	0.029251492	0.73388565	0.23682608
