 	avete	fatto	già	le	verdure	</S>
i	0.9184157	0.004644115	0.0014103245	0.0022052256	0.009183359	0.06414122
k	0.7987299	0.19325577	0.006451671	0.0005191828	9.366371e-05	0.00094973936
à	0.37273574	0.60462564	0.017028207	0.004265818	0.00047068513	0.00087393227
m	0.04639198	0.9497321	0.0031594397	0.00020753968	0.00022183817	0.00028711717
a	0.10198684	0.87721384	0.018758403	0.0018564551	4.819504e-05	0.00013626233
t	0.0030382588	0.35810158	0.59854686	0.025403438	0.0029856884	0.011924158
o	0.00066483795	0.37775066	0.5094625	0.090849355	0.0063048117	0.014967781
g	0.0003184266	0.01213194	0.86875725	0.09810958	0.011133626	0.00954926
i	9.9557874e-05	0.007059421	0.66593957	0.29149234	0.01592904	0.019480016
à	0.00017758967	0.0007191281	0.88787526	0.08298142	0.008826123	0.019420443
t	2.7018561e-05	0.00075172936	0.83736295	0.13456851	0.010020507	0.017269423
a	1.260285e-05	0.00017864096	0.23721206	0.75647986	0.0055426904	0.0005741539
l	3.791624e-05	0.00014555894	0.03380363	0.76009196	0.1868776	0.019043453
à	1.6099297e-06	1.3695655e-05	0.005044873	0.35879457	0.5747295	0.061415777
c	1.0316331e-05	4.7574023e-05	0.06655327	0.14121518	0.25251633	0.53965735
h	0.0001945681	0.0015543367	0.37574905	0.16408859	0.38067785	0.077735595
a	0.00039117812	0.0018444768	0.028971115	0.4430641	0.2981442	0.2275849
n	6.1756978e-06	4.7586596e-05	0.00051510404	0.06521202	0.15492381	0.77929527
a	1.0406675e-07	3.8498257e-07	3.0269837e-05	0.0043924362	0.95092577	0.044651084
</S>	1.657921e-05	4.0996856e-05	0.00085788494	0.0041860724	0.36284477	0.63205373
