 	non	aveva	cosa	a	fare	</S>
e	0.20340864	0.048640735	0.0020690032	0.022669042	0.3910214	0.3321912
n	0.48583958	0.44357184	0.06614173	0.0016695353	0.0004140917	0.0023633193
ì	0.05504905	0.76965386	0.13555625	0.018098004	0.011922723	0.00972019
c	0.01664337	0.9009534	0.059616007	0.011271626	0.009521234	0.0019945079
h	0.04341469	0.6057051	0.12224306	0.05729373	0.116477065	0.054866347
e	0.03358203	0.7183415	0.17728253	0.012143726	0.004339164	0.054311007
t	6.190559e-05	0.0013836408	0.5967273	0.17252481	0.016366998	0.21293531
i	0.00012344604	0.00150072	0.8632985	0.10240036	0.004901123	0.027775837
k	2.1565334e-05	8.676056e-05	0.08052432	0.7855908	0.08158415	0.05219235
à	0.00010077304	0.0003898711	0.18466252	0.718705	0.02523918	0.07090265
m	3.3861918e-06	6.0482257e-06	0.0010263703	0.21027502	0.7345629	0.054126322
i	6.348217e-05	7.079543e-05	0.0060448726	0.31597942	0.65486133	0.02298011
</S>	1.4277683e-06	1.251268e-06	0.00031216053	0.01821618	0.0745003	0.9069687
