 	non	mi	aspetti	che	non	vengo	</S>
m	0.1407532	0.013090289	0.08562512	0.011982387	0.0125878835	0.2296194	0.50634176
ì	0.9058551	0.030422244	0.004307042	0.0031028052	0.00034367383	0.053377323	0.0025918332
m	0.0032047392	0.016044691	0.019785782	0.07722596	0.07266829	0.7871578	0.023912733
e	0.09226416	0.14391316	0.102678694	0.15959553	0.048177756	0.34633508	0.107035644
m	0.015334482	0.06203244	0.5060891	0.066517144	0.011436229	0.18571322	0.15287735
ì	0.021716932	0.52353334	0.23375395	0.1121369	0.004841527	0.06751736	0.03650001
n	0.00044655707	0.011360619	0.78827655	0.11648889	0.020773271	0.05153412	0.011119948
i	0.0045804414	0.023812301	0.22622883	0.24654596	0.010813596	0.44502705	0.042991877
k	9.580551e-06	0.00072713784	0.061691035	0.73986715	0.12964094	0.024884364	0.043179803
a	4.8994843e-05	0.00060473883	0.019249937	0.9000564	0.021480018	0.04676234	0.011797488
e	7.2364346e-06	6.430681e-05	0.012178432	0.6523198	0.2906089	0.027474454	0.017346984
n	2.4416062e-05	1.9040237e-05	0.012191046	0.4526101	0.3240763	0.17582425	0.035254806
è	0.00019266547	0.0001237131	0.0020933023	0.13501103	0.043112505	0.7988021	0.020664666
r	7.1583266e-08	1.0378261e-07	1.8161529e-05	0.009700585	0.041920375	0.9459863	0.0023743813
k	4.3027123e-07	2.459956e-07	2.8680522e-06	0.00042433257	0.00023184392	0.99878734	0.00055299135
o	0.00075799716	0.0007479826	0.047869332	0.08002405	0.012535679	0.5274621	0.33060282
m	3.4107407e-07	6.895141e-08	3.2937648e-06	9.5156436e-05	0.0002542238	0.036749966	0.96289694
e	1.894704e-08	2.4145372e-08	1.1872031e-06	0.0019911388	0.0042066188	0.87102354	0.1227775
</S>	2.185526e-06	1.9126048e-06	7.127539e-05	0.0005369837	0.007234791	0.18982996	0.80232286
