 	vengono	vestiti	</S>
è	0.79986745	0.031514738	0.1686178
r	0.99621457	0.0034764358	0.00030903475
k	0.99812466	0.0014683764	0.0004069205
u	0.4309842	0.06913981	0.49987605
t	0.1818335	0.58602667	0.23213981
t	0.63187814	0.24255963	0.12556233
e	0.16330576	0.14602047	0.69067377
n	0.0023940091	0.7891157	0.20849033
d	0.0009990678	0.85483617	0.14416476
i	0.073901266	0.29594836	0.6301504
m	0.00010706734	0.3419488	0.65794414
è	1.9332087e-05	0.54733443	0.45264626
n	2.21905e-05	0.34850183	0.65147597
a	2.9622299e-05	0.6673337	0.33263665
</S>	8.2142615e-05	0.2378616	0.7620563
