 	viene	fabbricato	</S>
è	0.77467304	0.093452536	0.13187444
r	0.09906527	0.8971118	0.0038229576
k	0.8293462	0.15264511	0.018008653
e	0.24388401	0.101976715	0.65413934
t	0.012794582	0.4560949	0.5311105
e	0.058744874	0.43224332	0.50901186
f	0.0006102728	0.79118675	0.20820308
a	0.0008729189	0.6668141	0.33231297
b	0.001331825	0.62666863	0.3719995
b	0.0008676906	0.31362906	0.6855033
r	0.11788085	0.2835473	0.59857184
i	0.13208175	0.66745085	0.20046741
k	0.00071015593	0.18154427	0.81774557
à	0.0007010751	0.18956688	0.8097321
t	0.0018361253	0.79678655	0.20137727
o	0.00013351886	0.8946534	0.1052131
</S>	0.0073384168	0.27162835	0.7210332
