 	sto	e	cucino	</S>
e	0.30266303	0.0052541033	0.5147215	0.17736143
s	0.95219463	0.038816374	0.0041347975	0.00485421
t	0.8641175	0.11965906	0.013607615	0.002615893
è	0.38323626	0.086883366	0.09567722	0.43420312
c	0.1364522	0.47470507	0.09572169	0.293121
e	0.18567929	0.3136473	0.36843616	0.13223726
m	0.0008933566	0.25067988	0.35755587	0.39087087
a	0.0003965403	0.5858321	0.23975644	0.17401496
r	3.9294184e-05	0.014618357	0.75434375	0.23099862
è	4.1034153e-05	0.052727934	0.8036957	0.14353539
o	3.1560525e-05	0.0024607156	0.6760651	0.32144263
</S>	8.769749e-06	0.0006932463	0.17723815	0.82205987
