 	che	non	li	aspettiamo	</S>
n	0.43938452	0.009388359	0.0049822843	0.37385404	0.17239082
a	0.96068335	0.013654583	0.022912245	0.0019464154	0.00080341037
m	0.2821819	0.52051735	0.14659227	0.027724821	0.022983719
i	0.2575966	0.32455	0.4008338	0.008547141	0.008472446
t	0.0018572225	0.043727227	0.38465008	0.56380254	0.0059629194
u	0.0079518445	0.1472389	0.8150967	0.021222416	0.008490153
s	0.0004084053	0.057277776	0.36084065	0.49622217	0.08525106
m	0.001140111	0.057302527	0.90003026	0.03029077	0.011236267
ì	0.0019289023	0.0021901184	0.014624223	0.96596545	0.015291235
n	0.0003459812	0.0006362755	0.007934402	0.8841266	0.106956825
o	0.0016470196	0.0104987435	0.06625091	0.8272851	0.09431827
m	7.619525e-06	0.0001242157	0.002141628	0.08521404	0.91251254
e	7.069211e-05	0.0065443087	0.07429169	0.32043898	0.59865427
</S>	1.3153656e-05	0.00013518927	0.0003903679	0.028739039	0.97072226
