 	quando	Giovanni	venne	a	casa	la	sera	andava	molto	stanco	perché	aveva	lavorato	tutta	la	settimana	</S>
m	0.2667594	0.00323558	0.056367956	0.019807896	0.024932822	0.032368407	0.008330291	0.0024459031	0.0039908746	0.0033140094	0.009185893	0.010541517	0.028843582	0.025503404	0.01257383	0.051703114	0.4400955
ò	0.97724986	0.012052093	0.007593581	0.00073459017	0.0006706244	0.0002944351	0.00013688457	0.00015840847	9.216237e-05	5.101834e-05	6.658312e-05	5.3757016e-05	0.0001081626	0.00011715102	9.865256e-05	0.00028818066	0.00023390833
t	0.96781677	0.018485019	0.0061266706	0.00047781202	0.00044663963	0.00025674212	0.00031244784	0.0005201545	0.00054706575	0.0015752459	0.001641346	0.00024424086	0.00040658505	0.0003317955	0.00025699908	0.00038034306	0.00017419155
t	0.9649468	0.019244121	0.009671976	0.00042393405	0.00088659226	0.0001680637	0.0004186879	0.0005488307	0.00018816284	0.00020813312	0.00041713356	1.7772601e-05	0.00059754244	0.0006219719	0.00041079655	0.0009812166	0.00024823574
e	0.33812615	0.016866544	0.0530066	0.065033674	0.07402019	0.07066007	0.042744026	0.019742623	0.024212062	0.016956475	0.030100688	0.01796253	0.041450746	0.03468906	0.032940242	0.044723812	0.07676444
o	0.058547188	0.5467593	0.34392607	0.00893499	0.0058839177	0.0038515648	0.0016082253	0.0012935085	0.0034178437	0.0062490897	0.0068898164	0.0017643438	0.0020555435	0.0014790423	0.00137193	0.00413332	0.0018343455
G	0.0006812101	0.97160935	0.022867545	0.0016666688	0.0005885764	0.00046209086	0.00016546917	0.00023771568	0.00020156628	0.00029271335	0.0003309502	0.00023362973	0.00012193395	0.0001070487	8.6570966e-05	0.0001593338	0.00018764335
i	0.0017858263	0.6119615	0.22776355	0.029997641	0.035494488	0.0063327714	0.012440455	0.012617915	0.0052000973	0.0044717225	0.0081660915	0.00085080205	0.0112491585	0.009561087	0.006052398	0.0090514785	0.00700297
u	5.067596e-05	0.3544236	0.21636224	0.0911221	0.05646251	0.022665756	0.023679076	0.006868761	0.039779603	0.04377785	0.039951865	0.018596893	0.030228402	0.019725826	0.013939433	0.01201024	0.010355162
v	8.2110455e-07	0.97488606	0.021674074	0.0016361688	0.00030791436	0.00017457311	8.016134e-05	0.0001476492	0.00013182798	0.0002655659	0.00028132639	9.153901e-05	6.684765e-05	5.430706e-05	4.9242717e-05	0.00010357892	4.843002e-05
à	4.21224e-06	0.8975737	0.07377999	0.01143328	0.0059099947	0.00096858386	0.0018134658	0.0016048914	0.00048167087	0.00060056144	0.0007575911	0.00021645319	0.0011751449	0.0012436863	0.0004794161	0.00083026197	0.0011270207
n	6.1064117e-07	0.5621876	0.32149425	0.035151273	0.016231129	0.0026761105	0.0048817997	0.0034531483	0.007374167	0.014626383	0.0127617745	0.002387934	0.0067035444	0.0048265774	0.0024163597	0.0018124642	0.001014821
n	4.1683063e-07	0.61160856	0.3425772	0.017278569	0.007643066	0.00086788804	0.001826376	0.0022188902	0.0009689898	0.00096019916	0.0019286696	8.607642e-05	0.002649158	0.0026856412	0.0020820308	0.0039469707	0.0006712809
i	7.223494e-05	0.021849707	0.087427095	0.1620562	0.08878863	0.09114939	0.037808903	0.005328329	0.026067365	0.024920523	0.053983018	0.048129015	0.0696081	0.047305007	0.03690454	0.050092857	0.14850903
ì	6.014147e-08	0.08172488	0.8502344	0.05945549	0.0045005903	0.0011381423	0.0002722037	9.653344e-05	0.00030886754	0.0005924601	0.00061951764	0.00014029241	0.00028521506	0.00015320031	9.178069e-05	0.0002525256	0.0001338954
r	7.053467e-10	0.028483188	0.95146865	0.0129689425	0.004893865	0.00034163773	8.152293e-05	5.617285e-05	9.86834e-05	0.00059340737	0.0005254035	8.377468e-05	0.0001423318	9.634492e-05	3.875895e-05	0.00010659642	2.0801364e-05
t	3.3638745e-08	0.07746515	0.86192477	0.03988279	0.015471531	0.00047541506	0.0005300497	0.0010321601	0.0003578778	0.0006540337	0.00062010065	6.8113535e-05	0.00047862998	0.00043744186	0.00021224194	0.0003354882	5.417258e-05
e	1.6487784e-05	0.0056188293	0.059417028	0.19503732	0.07671614	0.07473276	0.0238082	0.0030375144	0.014932759	0.017041976	0.045923464	0.04547232	0.076852046	0.042757887	0.02274606	0.030631619	0.26525757
è	5.1838807e-08	0.0048643593	0.49657577	0.38772702	0.08850238	0.01310242	0.002044776	0.00044393825	0.0005804875	0.00087355246	0.0011839572	0.00016553898	0.001892987	0.0006389706	0.00021477792	0.000638157	0.0005509032
