 	mi	si	gonfiò	il	dito	</S>
m	0.059444424	0.059139818	0.036669794	0.00947739	0.2956946	0.53957397
u	0.08149459	0.7321508	0.06331003	0.0063896906	0.11516212	0.0014927664
p	0.050492615	0.463032	0.31573933	0.15569605	0.009491146	0.0055489223
r	0.02364452	0.6116243	0.26933408	0.04316465	0.0427437	0.009488764
ì	0.01490142	0.083592385	0.3501056	0.023571165	0.06956704	0.45826235
s	7.3289186e-05	0.00646281	0.8499669	0.11345349	0.02688783	0.003155627
t	0.0007034652	0.015781628	0.6995212	0.21111476	0.056521464	0.016357515
i	0.010747212	0.027374253	0.42456886	0.060892213	0.00931944	0.46709794
t	4.216585e-07	0.0015804328	0.2871765	0.6633912	0.033485167	0.01436633
o	0.00014614179	0.004207226	0.17393166	0.70554805	0.06682808	0.04933885
d	8.33092e-07	3.78264e-05	0.00577566	0.98633415	0.0066835643	0.0011678803
à	1.5275982e-05	0.0014966981	0.010885528	0.11675712	0.8373164	0.033529088
t	1.081575e-07	5.727275e-05	0.004675656	0.3366911	0.64400065	0.014575221
t	3.402199e-07	2.5468444e-05	0.0013061785	0.09233125	0.8851767	0.021160033
i	0.000300114	0.0015008821	0.012936198	0.08507152	0.05150144	0.8486898
l	1.0437023e-07	5.4550164e-06	7.859657e-05	0.011599016	0.6520578	0.33625904
o	1.2261498e-05	5.606813e-05	0.00038450322	0.0153529225	0.71540105	0.26879323
</S>	1.4282838e-05	6.988074e-05	3.273764e-05	0.016983911	0.041118674	0.94178057
