 	lo	ho	finito	di	fare	</S>
t	0.61375344	0.021794502	0.086157344	0.003281697	0.1463153	0.12869781
o	0.9679987	0.026425365	0.0036081923	0.0011947335	0.0004134247	0.00035972302
s	0.41984203	0.5562608	0.012484528	0.0037113915	0.00569601	0.0020051654
p	0.21551257	0.75806046	0.019766543	0.0028945815	0.00069564825	0.0030702075
ì	0.27697426	0.12566712	0.060307596	0.02303056	0.04010259	0.4739178
c	0.05211528	0.71318483	0.16474426	0.021044472	0.018066142	0.030845055
c	0.05996761	0.23125099	0.531219	0.03392467	0.02377865	0.11985902
e	0.16320364	0.2224509	0.36933374	0.020987974	0.012309129	0.21171466
t	0.000111375026	0.01847629	0.5723787	0.28391927	0.023103517	0.102010824
s	0.00027875832	0.13373053	0.28435114	0.44528282	0.077001795	0.0593549
a	0.018460734	0.09531285	0.37834397	0.050959665	0.05074633	0.40617645
a	2.809553e-05	0.0005540924	0.40255743	0.5095762	0.05799749	0.029286716
t	2.3797254e-06	0.00023174385	0.06479632	0.9037573	0.013348643	0.017863633
s	1.5950659e-06	6.79297e-05	0.07231159	0.88355386	0.025228336	0.018836712
è	0.00023323114	0.0074230037	0.114277065	0.1123259	0.10482654	0.66091424
k	7.980195e-06	0.0011613606	0.023505133	0.12964407	0.6556081	0.1900733
à	3.457954e-07	0.000103094266	0.0049741436	0.42755663	0.32734105	0.2400247
m	1.4634638e-07	3.6919908e-05	0.0017436844	0.0587728	0.79915875	0.1402877
i	2.0196012e-07	2.1428397e-05	0.00051581755	0.09164424	0.8003532	0.10746512
</S>	7.73602e-07	1.7230852e-05	5.9869875e-05	0.016168175	0.31817797	0.665576
