 	volevo	trovare	un	forno	che	fa	un	rustico	buono	</S>
ì	0.8747654	0.0012474246	0.003968582	0.025312632	0.0024913661	0.0060630045	0.01066549	0.009346465	0.0046654283	0.06147431
s	0.9971474	0.0025974263	0.00011750611	0.00011036656	7.5013118e-06	7.509543e-06	4.142266e-06	1.5213163e-06	1.6325421e-06	5.0778544e-06
e	0.9626047	0.0329226	0.0024059748	0.0017890516	6.783357e-05	0.00014858608	3.0512185e-05	1.461771e-05	5.6957015e-06	1.0382159e-05
l	0.33392143	0.6508656	0.010619015	0.0038682513	0.00031457102	0.0002819213	5.6913366e-05	1.4273995e-05	7.884457e-06	5.0047052e-05
a	0.00825436	0.7573074	0.18028021	0.04510002	0.0015417255	0.00482045	0.0014318042	0.0008030652	0.00030397254	0.00015697983
n	0.008202591	0.8707183	0.06512202	0.0428453	0.003583098	0.004013431	0.0025060212	0.00038582046	0.00022949734	0.0023939158
a	0.0004512378	0.83639544	0.120122455	0.03232583	0.0016089418	0.006121832	0.001800186	0.0009682386	7.2936185e-05	0.00013281431
v	0.0003184768	0.7542287	0.2067245	0.031630084	0.0026334645	0.0019932592	0.0010557155	0.00019017245	0.0001508976	0.0010747758
r	1.5299356e-05	0.541399	0.37487814	0.056380592	0.0050592935	0.013151648	0.0049862647	0.0036985644	0.00012893387	0.00030222305
ì	0.021463858	0.21701558	0.35064662	0.08188258	0.021774042	0.048383486	0.091618225	0.112301275	0.006202353	0.04871197
k	0.0074606924	0.04478397	0.72671556	0.18574001	0.009476702	0.008594758	0.0094193695	0.00015022882	0.00035031463	0.0073085157
o	0.00014291964	0.056098614	0.8150325	0.09352877	0.00813007	0.017030515	0.0066258577	0.0024238932	0.00026879593	0.00071796455
a	1.1534942e-05	0.009435485	0.65437025	0.27853495	0.045940414	0.004571971	0.003047225	0.000121523146	0.00061498577	0.00335166
f	3.0396446e-05	0.001611848	0.15383384	0.5573547	0.2502455	0.025396494	0.0056987423	0.0042019207	0.00012456163	0.0015020452
ù	0.00014224523	0.0054497216	0.26928008	0.5704749	0.100648716	0.04141628	0.004760045	0.0070492695	0.00051472755	0.0002639993
r	4.117175e-06	0.0010611679	0.036999904	0.91067857	0.031418033	0.017960468	0.001472912	3.5881014e-05	0.00012969694	0.00023915555
n	9.672888e-07	0.001021029	0.0314465	0.95091575	0.0058959243	0.00982127	0.0006895627	0.0001855379	1.5043001e-05	8.272764e-06
o	0.0066228453	0.04067929	0.12313523	0.016076878	0.06148544	0.04982753	0.06520215	0.019776577	0.05264121	0.56455284
k	4.489358e-06	0.00035454324	0.014708175	0.3987159	0.37078065	0.108577594	0.078202225	0.0064224442	0.0018058758	0.020428147
a	2.1957177e-08	4.8349306e-05	0.0056020906	0.2149223	0.38719934	0.33341447	0.04199161	0.011148974	0.0019191462	0.0037537059
k	9.615212e-07	1.7722878e-05	0.0006019894	0.040366758	0.606855	0.25497544	0.077002265	0.0065687727	0.004445898	0.009165246
a	3.5772416e-07	5.2631394e-06	8.686818e-05	0.004300919	0.28179097	0.55555207	0.07301852	0.0788038	0.0037529422	0.002688345
n	2.6376604e-06	3.5709658e-05	0.0007798776	0.012978681	0.27136907	0.46639782	0.18754034	0.02110867	0.025821801	0.013965332
n	5.1542037e-07	2.5764948e-06	2.5923442e-05	0.0008373343	0.086340606	0.43577573	0.16517672	0.2926006	0.014398721	0.004841262
i	5.6907643e-06	0.0006748593	0.009099868	0.021802755	0.12697409	0.17366195	0.13831785	0.18935148	0.055885836	0.28422558
u	8.6657645e-05	0.00012334718	0.00040811975	0.004256022	0.027134042	0.214774	0.39744487	0.048894756	0.051460735	0.2554175
n	1.1194513e-06	1.0406915e-06	1.7020917e-05	0.0022208875	0.011151264	0.15427193	0.56848943	0.21213463	0.038281567	0.0134311365
r	7.497828e-07	1.1275632e-06	5.2493124e-06	9.3077964e-05	0.0020334723	0.051345095	0.13203807	0.7645164	0.0477127	0.002254045
ù	1.4650942e-06	1.80913e-05	0.0002313371	0.0024745075	0.0175103	0.040692836	0.062162884	0.61115766	0.0626686	0.20308228
s	2.6774305e-05	0.0005712334	0.0030914384	0.031118259	0.008176351	0.08091667	0.23247086	0.38444012	0.053118065	0.20607033
t	1.2464636e-09	8.496327e-08	2.3551884e-06	0.0012582375	0.0030494642	0.25393596	0.5534287	0.045690276	0.102540515	0.04009445
i	3.1839402e-08	2.4034825e-05	0.000853744	0.009438012	0.035113886	0.0625685	0.14943959	0.10485729	0.12603411	0.51167077
k	5.6512766e-07	3.4701313e-07	8.165677e-07	4.984139e-05	0.00013263838	0.005053926	0.4540613	0.24694254	0.13872209	0.15503591
o	2.6453435e-08	7.985633e-08	1.0757908e-06	2.5360168e-05	0.00089098595	0.024190666	0.199971	0.20591068	0.39403316	0.17497693
k	2.7654556e-07	6.495869e-07	5.2728437e-06	0.00010577153	0.00022432047	0.0013304015	0.120526716	0.06616959	0.6566947	0.15494233
a	6.7701046e-07	4.190281e-07	2.2840804e-06	1.1243988e-05	5.1222196e-05	0.0010906585	0.027622832	0.20548946	0.7208301	0.044901155
l	6.405884e-07	2.258939e-06	1.718398e-05	0.0001225251	0.00015407948	0.000597034	0.031256493	0.03210888	0.8279686	0.10777228
ù	3.7355388e-08	4.8619704e-08	7.183153e-07	2.6133028e-05	0.00011637435	0.0016735556	0.025847532	0.1160186	0.66815174	0.18816526
</S>	9.411627e-09	1.4572064e-08	2.2060766e-07	8.016567e-05	8.577668e-05	0.00080999907	0.014233922	0.0015434724	0.11664299	0.86660343
