 	i	genitori	non	li	dimentichiamo	mai	</S>
u	0.77554256	0.014406537	0.0030257686	0.0064985775	0.006115174	0.020494571	0.17391701
g	0.83175886	0.16089773	0.0046156673	0.002114654	0.00022107248	5.3026233e-05	0.00033887711
e	0.7368813	0.2588977	0.0011409301	0.0011575982	0.0014672778	0.00029437352	0.00016097145
n	0.1149695	0.85086524	0.022435833	0.008612127	0.0021224355	0.00019560615	0.00079942594
i	0.022563513	0.9704475	0.0018842625	0.0014086994	0.0033480148	0.00025908425	8.89878e-05
t	0.00567963	0.8444179	0.090372734	0.041081745	0.013358689	0.0013553007	0.003733883
ò	0.0038883446	0.9373186	0.022146069	0.01703945	0.017009055	0.0012625654	0.001335975
r	0.008249409	0.40814564	0.4595005	0.09741676	0.008176648	0.011430064	0.0070809843
u	0.014852369	0.7265176	0.098349735	0.13202384	0.0069558895	0.019088378	0.0022121621
e	5.874432e-05	0.003297204	0.23721051	0.36657634	0.37197572	0.00531545	0.015565971
n	8.869703e-07	0.0007535017	0.13283834	0.7811037	0.08266082	0.0015624606	0.0010803419
è	1.6931646e-05	0.001495711	0.012456554	0.7210511	0.24955198	0.01396283	0.0014648886
n	1.5412485e-05	0.0005717819	0.09914844	0.8048954	0.027468795	0.06341153	0.0044886824
u	8.5599396e-07	0.0012258678	0.05737828	0.6573207	0.12022687	0.15459917	0.009248188
s	8.3508877e-07	2.0833315e-06	0.0004563252	0.018486997	0.8913032	0.065249726	0.024500825
s	6.191029e-07	9.508591e-05	0.0076846518	0.1625466	0.39499107	0.35963523	0.07504672
c	3.1221243e-05	0.0007169055	0.010711082	0.044761434	0.4379659	0.22570282	0.2801106
e	0.0007289242	0.006515644	0.044666823	0.109052375	0.20653395	0.3793676	0.2531347
r	0.00012541133	0.00013308197	0.00020642944	0.007860318	0.14187744	0.11828155	0.7315158
r	6.5468237e-07	2.3775672e-05	0.00027320377	0.0063813743	0.04276115	0.66890204	0.28165787
è	1.0211682e-05	1.803954e-05	0.00027805538	0.0043425052	0.16468011	0.645655	0.18501607
t	9.897168e-07	1.5034559e-05	7.140223e-05	0.00065444806	0.03189889	0.614986	0.35237318
s	3.0657134e-08	2.098083e-06	0.00012826365	0.00021402662	0.0025261356	0.5625152	0.4346142
u	3.2777134e-06	0.00016568322	0.00048429088	0.00077244866	0.0012076845	0.116491646	0.88087493
m	9.287195e-07	1.3878798e-06	2.0062093e-05	5.9082286e-05	0.0023350134	0.27888972	0.71869385
e	1.3510333e-08	3.500678e-07	4.273536e-05	0.00018754702	0.00078958366	0.54550266	0.45347708
m	1.3578322e-07	4.8390534e-06	4.410673e-05	5.5059485e-05	0.0011218186	0.42262545	0.5761486
à	7.794683e-06	4.9349474e-06	8.642628e-06	8.674804e-05	0.0026002235	0.6846471	0.3126446
i	8.8731783e-10	9.163129e-09	2.8799155e-07	0.00012407993	1.51127715e-05	0.981644	0.018216511
</S>	4.7862534e-07	1.4310236e-06	4.994499e-05	3.9923612e-05	0.0010848142	0.4371808	0.5616426
