 	lui	sapeva	che	oggi	fa	freddo	fa	freddo	e	non	ha	fatto	il	bagno	</S>
c	0.752052	0.02476399	0.00080689054	0.04628773	0.01082228	0.010862918	0.012056522	0.011827941	0.013432219	0.02888659	0.008687666	0.0036843258	0.006415145	0.022025464	0.047388304
ì	0.76535076	0.067902446	0.004828945	0.1288105	0.014438471	0.007853789	0.0059555345	0.001661033	0.00037609276	4.6836823e-05	0.00040675717	0.0006532549	0.00040662184	0.0010740177	0.00023496889
n	0.9573146	0.03725757	7.201457e-05	0.0052331737	5.8613292e-05	1.8902036e-05	2.4040537e-05	3.8571457e-06	3.4609607e-06	5.136913e-06	3.5560338e-06	1.2795838e-06	5.328252e-07	2.075639e-06	1.0761702e-06
o	0.6000101	0.23825592	0.008916751	0.0921227	0.016883751	0.022624997	0.006638713	0.009270645	0.00040178504	4.8931524e-05	0.00032199625	0.0021781425	0.00047170056	0.0015490351	0.00030486198
ì	0.5593071	0.39804232	0.027287723	0.009294839	0.0019734106	0.00021826931	0.001108221	0.00010765473	0.00035277443	0.0009414493	0.0005063398	0.00013281699	0.00013060556	0.0004139441	0.00018250132
t	0.0006840162	0.78918064	0.09355771	0.10717487	0.0068253675	0.0010314655	0.00072123425	0.0003465923	6.310585e-05	0.00020155082	7.878691e-05	2.375097e-05	2.3889246e-05	5.9641297e-05	2.7336364e-05
s	0.0012355474	0.9819218	0.008679414	0.007301095	0.0003084247	0.00029441513	7.459132e-05	0.00012628316	1.1017802e-05	1.4937026e-05	8.394389e-06	9.8669725e-06	3.0331596e-06	7.602243e-06	3.7181658e-06
e	0.0035142105	0.08041611	0.12603639	0.074100316	0.057762466	0.1378411	0.08190995	0.10716438	0.06585617	0.0056616855	0.05024562	0.062222593	0.041080445	0.042553205	0.06363537
r	0.0036060524	0.8221505	0.033424485	0.13614792	0.0021229296	0.00085894443	0.0007976565	0.0001706392	0.00013038359	0.00019220497	0.00013038011	7.813632e-05	2.3132168e-05	0.00012347272	4.3270356e-05
e	1.2617958e-05	0.08804547	0.27608323	0.32850546	0.09006398	0.10709448	0.02823425	0.07298405	0.00095799856	8.3532344e-05	0.00063614786	0.0030734085	0.0011202199	0.0026192085	0.0004859695
k	3.4132234e-05	0.065044	0.84812784	0.063944414	0.014462267	0.0012468246	0.0028364381	0.00031017337	0.0005969177	0.001354035	0.00074494415	0.00029128784	0.00013022925	0.00065357325	0.00022296017
a	2.2085737e-06	0.02338972	0.5766192	0.19933167	0.08643256	0.07023594	0.014298284	0.025816388	0.0004255741	3.8286e-05	0.00029167524	0.0014918476	0.0004106805	0.0010149997	0.00020096563
s	8.5063675e-06	0.013989013	0.8601302	0.07150563	0.044225	0.001531488	0.0032393385	0.00031921826	0.0006315578	0.0016194986	0.00081737567	0.00031342192	0.00026622004	0.0010952298	0.00030831053
ì	4.177371e-06	0.0041410127	0.35530216	0.07398959	0.3342737	0.14153068	0.034050066	0.048491642	0.0009614558	8.095609e-05	0.0006782748	0.0029576255	0.0009385193	0.0021488494	0.00045130088
m	1.8261452e-06	0.0025503433	0.14220075	0.5336117	0.2842761	0.0077190795	0.01954715	0.0032518257	0.0010383086	0.00295249	0.0010817618	0.0006956294	0.00012695686	0.00076152105	0.00018453415
m	2.170009e-07	0.00056322454	0.005834675	0.950506	0.034567475	0.005475444	0.0013095838	0.001513419	2.573855e-05	7.695291e-06	1.7440838e-05	8.1366925e-05	2.041282e-05	6.855763e-05	8.739488e-06
e	0.00030822196	0.08568853	0.10253931	0.03936862	0.03083381	0.1622724	0.0245395	0.16575344	0.045800634	0.0053132987	0.016940435	0.032567773	0.03576713	0.039570298	0.21273665
r	8.31561e-08	0.00028174455	0.007051989	0.8868092	0.05525426	0.04313618	0.003409007	0.0012386339	0.00049318385	0.00025720918	0.00021585239	0.00019272034	0.00026591017	0.0009761252	0.0004178936
i	1.16306936e-07	1.3483454e-05	0.009871412	0.3563044	0.36996552	0.083686195	0.073394604	0.07838802	0.005381842	0.00032517756	0.0029446275	0.010207489	0.0028033382	0.004700156	0.0020135348
è	5.0844825e-08	3.1049196e-05	0.008815467	0.16652201	0.68637455	0.07063733	0.050892908	0.0023127825	0.0036337248	0.0047698594	0.002129741	0.00053549954	0.00057247205	0.001979405	0.00079321687
f	3.900197e-08	8.9329757e-07	3.7201375e-05	0.3397344	0.609858	0.0039887778	0.0441596	0.0006647443	0.0003833883	0.0006054349	0.0002548467	5.3022373e-05	3.999019e-05	0.00019460812	2.4981682e-05
r	1.6455566e-08	1.4162431e-06	0.0003682052	0.450528	0.43911135	0.09077472	0.013679733	0.0050866203	0.00012420982	5.223565e-05	4.87207e-05	0.00012131435	1.9324021e-05	7.208182e-05	1.1948782e-05
ì	1.8003747e-07	7.889833e-05	0.012641522	0.025760533	0.07180676	0.38956922	0.052131787	0.2650962	0.03783301	0.004018684	0.011950059	0.018264618	0.007428067	0.008332761	0.09508769
s	1.3032451e-09	3.1523606e-07	0.00022858723	0.58972937	0.11910367	0.14023273	0.13212372	0.015428124	0.0014695716	0.0007634966	0.0003000244	0.00014034436	6.273004e-05	0.0003297527	8.766819e-05
k	3.6024337e-09	8.623591e-08	0.00015339656	0.07161656	0.49850947	0.07522463	0.29749823	0.03595671	0.004400568	0.00019549044	0.001639138	0.008436558	0.0017645374	0.00401986	0.0005848535
o	4.3407816e-08	7.421976e-05	0.016722683	0.036184818	0.052370567	0.5252385	0.04799876	0.15461715	0.027896468	0.0015271584	0.0075274543	0.013615168	0.017280426	0.021616997	0.07732963
è	6.4257923e-09	5.938371e-07	6.1018864e-06	0.0021430028	0.050364558	0.33479154	0.49075535	0.07273775	0.031156177	0.008151646	0.003498858	0.0008601774	0.0013610912	0.002548381	0.0016248004
t	1.6544323e-08	1.8836431e-07	3.7210323e-06	0.006754573	0.067342386	0.0038147653	0.8941796	0.009972944	0.008021728	0.005074849	0.0025949583	0.00042046365	0.00026349633	0.0014672698	8.9059744e-05
s	6.191283e-09	4.7549168e-08	1.3954608e-05	0.018856142	0.1630644	0.07950036	0.62090355	0.107576706	0.005133661	0.000541675	0.0009648034	0.0022348177	0.0002658323	0.00086356176	8.048294e-05
i	7.291321e-09	7.4311783e-06	0.0040677367	0.012520183	0.034855917	0.21241148	0.0709986	0.29141173	0.059105605	0.0057214694	0.015794666	0.019044647	0.020805521	0.022974573	0.23028041
