 	deve	essere	bianco	</S>
è	0.9402012	0.0015724106	0.026211368	0.032014996
n	0.8767126	0.06300122	0.057986774	0.0022993835
a	0.88340575	0.100547165	0.013858164	0.0021889128
è	0.044859532	0.92084813	0.028502518	0.0057897987
n	0.03277592	0.8980825	0.06858832	0.0005532957
e	0.07466586	0.87733436	0.04767485	0.00032486627
à	0.007939612	0.73765117	0.23285608	0.02155311
s	0.00010902184	0.008632509	0.99002516	0.0012333352
p	0.00068541017	0.015568712	0.9833224	0.00042355392
r	0.0027609032	0.015225048	0.103181295	0.87883276
o	0.08899946	0.15079764	0.3693776	0.39082533
</S>	2.9790028e-05	0.00015179452	0.1002296	0.8995888
