 	è	che	sono	usciti	</S>
è	0.98578864	0.004056215	0.00026664487	0.0021843128	0.007704217
n	0.6070669	0.21494669	0.15859137	0.008635133	0.010759887
a	0.26763266	0.6648211	0.04438521	0.019417701	0.0037432364
g	0.0011609489	0.3721689	0.5954052	0.021027211	0.010237753
u	0.0026102785	0.4054466	0.52191013	0.055128034	0.01490496
ì	0.00021260892	0.010014816	0.84753036	0.10181227	0.04042998
k	0.00066073163	0.00030900355	0.99478877	0.001973778	0.002267787
a	0.0180135	0.025411393	0.85444456	0.09298648	0.0091440715
n	0.0007293932	0.0006872506	0.042292785	0.6926022	0.2636884
e	1.7630959e-05	0.0003697335	0.01823757	0.5583718	0.42300326
</S>	0.00023506822	0.00011987107	0.0054313494	0.28625157	0.70796216
