 	le	ragazze	vogliono	guardate	</S>
t	0.7649386	0.013580996	0.02015116	0.040353797	0.16097553
a	0.9474569	0.045407806	0.006833882	0.00015688357	0.00014459202
k	0.66144156	0.30477265	0.025410332	0.0018636606	0.006511651
o	0.3483127	0.5903937	0.05931147	0.00092830294	0.0010538128
r	0.023258466	0.8938319	0.0644779	0.0040674894	0.014364164
à	0.08135687	0.63965166	0.25287074	0.01235568	0.013764973
s	0.08562885	0.73545843	0.07355893	0.010727955	0.09462581
i	0.01870324	0.63620436	0.31942198	0.009254292	0.016416041
a	0.00029019985	0.8179459	0.1299882	0.016061176	0.03571452
t	2.079087e-05	0.04005431	0.93578166	0.016993364	0.007149975
è	0.00012801668	0.011095098	0.9841053	0.0045148097	0.00015677618
l	0.00034719802	0.0130640315	0.9717359	0.014098911	0.00075401
o	0.00012133188	0.010562762	0.9784146	0.010831859	6.936092e-05
n	0.00012362307	0.013033998	0.41270682	0.43446475	0.13967079
e	3.8413782e-07	0.00020357047	0.3687815	0.56978285	0.061231665
k	4.3403184e-06	0.00023567182	0.004201997	0.8750673	0.12049072
a	2.4819049e-06	7.312391e-05	0.017498024	0.9060549	0.07637154
n	3.3566002e-06	7.2138304e-05	0.0003363588	0.8653684	0.13421974
o	1.7023563e-06	2.8551998e-05	0.0016095921	0.9024548	0.09590539
n	4.226493e-06	5.102913e-05	0.00010837414	0.70294327	0.29689306
i	2.4767917e-06	2.606666e-05	0.00044658847	0.79583526	0.2036896
m	4.869696e-06	4.9433813e-05	6.715033e-05	0.4048693	0.5950092
m	7.249497e-06	4.352777e-05	0.00030034906	0.546394	0.45325485
è	3.7189934e-06	6.297205e-05	0.00083119265	0.37635878	0.6227433
n	1.4043677e-07	4.3001368e-05	0.00036422105	0.12755615	0.87203646
a	4.0083154e-07	6.314319e-05	0.0012599526	0.25359356	0.745083
</S>	4.8823917e-06	9.105738e-05	0.00017735324	0.07831553	0.92141116
