 	il	medico	mi	ha	detto	di	non	mangiare	dolci	però	a	me	mi	piacciono	e	li	mangio	</S>
o	0.8894828	0.033234864	0.00037232888	0.003096449	0.0022147566	0.0016020563	0.0049980134	0.0034657426	0.0004305548	0.0036640777	0.0021413853	0.005375198	0.006984507	0.0029108648	0.0028380868	0.001868225	0.0021371834	0.03318283
m	0.4564253	0.5174828	0.015192457	0.005002841	0.0009445431	0.0006277407	0.0013837264	0.0010839159	0.00036203908	0.00038024143	0.00030554918	0.00025646965	0.00035331538	6.123391e-05	2.311884e-05	2.3330249e-05	7.167287e-06	8.420667e-05
e	0.45270827	0.53593355	0.0019913095	0.0044887564	0.0008644201	0.0016992693	0.00011925885	0.0006815638	0.000519371	0.00069382956	0.00011714484	0.000105004154	4.807633e-05	7.2351913e-06	5.684624e-06	4.199629e-06	5.059984e-06	8.003915e-06
s	0.06882792	0.7894514	0.09871356	0.028624076	0.0025695616	0.0023177224	0.0034960534	0.0027595833	0.00073928316	0.0007946864	0.0004812856	0.0004005389	0.0005766772	7.6536606e-05	2.8334269e-05	3.0043051e-05	1.0333802e-05	0.0001023922
s	0.011755418	0.9517386	0.0029580058	0.02565622	0.0034319195	0.0024405352	1.8609973e-05	0.00046065246	0.000200781	0.0011805305	7.7416684e-05	5.9625956e-05	4.197469e-06	1.8159734e-06	2.4759095e-06	1.3450571e-06	8.663698e-06	3.0887568e-06
è	0.18821123	0.44817573	0.012864282	0.03465161	0.068025514	0.022021534	0.003194904	0.005313191	0.0014171475	0.065090105	0.024772162	0.042735238	0.0037341279	0.009361572	0.017541066	0.0062247547	0.007542304	0.039123494
r	0.22211349	0.27246556	0.13368288	0.21610813	0.08478289	0.04239502	0.0067332024	0.004512666	0.0019734045	0.009743539	0.0016665335	0.0012301573	0.0010575488	0.00030255015	0.00025973626	0.00023548544	0.000294558	0.00044268498
e	0.036713813	0.13439593	0.028559308	0.60172135	0.11110957	0.049745705	0.00036796046	0.0069593377	0.0024420046	0.024061142	0.0019129749	0.0014706927	0.0001020786	4.4981607e-05	6.966084e-05	3.248666e-05	0.00021581187	7.523001e-05
m	0.0016185157	0.03040243	0.14549726	0.38459644	0.31466904	0.07402273	0.010663314	0.0047609126	0.0024591268	0.011165224	0.0046142414	0.0050390395	0.0035000138	0.0018230187	0.0010743559	0.0008874356	0.0002682383	0.002938657
u	1.6787164e-05	0.0050531733	0.03361214	0.82030886	0.11300528	0.021698026	7.698551e-05	0.0016060016	0.0005816935	0.0035281614	0.00022880403	0.00018026677	5.699058e-06	7.0182623e-06	1.2142798e-05	6.5453596e-06	5.9675887e-05	1.29182035e-05
p	1.4025184e-05	0.0008456829	0.086583935	0.5093554	0.30110294	0.064657554	0.020040656	0.0065129283	0.0023111408	0.0018275707	0.0012781469	0.0013046606	0.0013613629	0.0008087263	0.00033547138	0.00053677114	0.00019981065	0.0009231647
e	3.9772062e-06	0.0003373062	0.014986399	0.51591516	0.30012012	0.12087617	0.00080842123	0.011665321	0.0056755263	0.02552951	0.0020180014	0.0016820945	3.7003447e-05	3.5696507e-05	5.765205e-05	2.4418423e-05	0.00014172189	8.561628e-05
n	1.6877859e-05	0.00034627403	0.012727843	0.35699064	0.3523326	0.208474	0.04108833	0.015518105	0.004888766	0.002269324	0.0011454098	0.0011223543	0.0010730027	0.0006043687	0.00026449145	0.0003802596	0.0001247836	0.00063263736
a	1.2785649e-06	4.699569e-05	0.0018156006	0.18145639	0.50373554	0.2469815	0.0011672488	0.017078426	0.0083293	0.031990368	0.003630088	0.003149739	6.29353e-05	6.795285e-05	0.00010807344	3.6958507e-05	0.00018531368	0.00015628121
m	2.6901491e-06	6.268193e-05	0.001341956	0.0785681	0.3129585	0.48493466	0.07297689	0.027196389	0.00886602	0.004759853	0.0018073756	0.0018705972	0.0014529611	0.0008996553	0.0004253983	0.00062532	0.00031065778	0.0009402213
i	5.313428e-07	1.0197539e-05	0.00024418166	0.034030356	0.5263413	0.36568078	0.0015415561	0.01966489	0.009213602	0.033607468	0.004960951	0.0037411386	0.00011654005	0.00010878164	0.00017345615	5.6806894e-05	0.00027940725	0.00022810386
n	3.5238452e-07	5.7319726e-06	8.59293e-05	0.005579531	0.15504842	0.68388253	0.106381044	0.026961723	0.011157034	0.0046909144	0.0015732627	0.0014132471	0.0010082477	0.00060091476	0.00027601523	0.00040495655	0.00023026543	0.00069985836
f	2.650449e-07	1.8632371e-06	7.269947e-05	0.0032451476	0.17002912	0.54599565	0.015738018	0.075300306	0.052938055	0.09029713	0.020556962	0.01987439	0.00027751012	0.00096828956	0.001534915	0.00048589252	0.00092084403	0.0017629802
à	1.8616853e-05	0.00084149226	0.0008864118	0.037102982	0.5651525	0.2072638	0.0035114517	0.010118909	0.005835285	0.028443208	0.009566831	0.018519806	0.003095611	0.005266931	0.012364601	0.004007	0.0102314325	0.07777316
o	1.1877614e-05	5.2365376e-05	0.00033202872	0.018846504	0.08693439	0.5723919	0.06493511	0.048781026	0.02367885	0.07584512	0.03217826	0.043517943	0.012537973	0.0023818125	0.0014325691	0.0005959963	0.00015688885	0.015389338
g	3.93928e-08	1.1006297e-07	5.0755676e-07	3.767499e-05	0.010470338	0.15636453	0.519094	0.094153	0.0679064	0.11403503	0.020351512	0.009281717	0.0012287527	0.0013775795	0.00094664935	0.0007153143	0.0005079924	0.0035288741
l	3.6930126e-07	1.412503e-06	1.284512e-05	0.00057195855	0.03648201	0.34266597	0.014599353	0.23596162	0.13644825	0.19554968	0.023367643	0.011552388	0.00031517583	0.00029275758	0.00050709123	0.00015433774	0.00084433233	0.00067276316
i	5.253401e-05	0.0010679357	0.0014399909	0.04743883	0.25639835	0.20483367	0.0033258123	0.055247653	0.05414725	0.10422256	0.03141954	0.046847492	0.015802534	0.007667843	0.016447086	0.0030788844	0.0037544477	0.14680758
c	0.0001684197	0.00014864736	2.4376735e-05	0.0019691882	0.017646767	0.3083431	0.058770634	0.12003143	0.11207457	0.15962067	0.041466407	0.052455228	0.015508346	0.0034853572	0.0032769435	0.001212527	0.0008738199	0.1029236
è	4.744104e-08	2.5663118e-07	1.5832997e-05	0.0007068695	0.017065525	0.15216546	0.0103647215	0.21504168	0.18528348	0.20000285	0.07846204	0.07098358	0.0022409277	0.010157476	0.0187137	0.0057974714	0.006609993	0.026388079
a	3.5829005e-06	4.3951563e-06	1.0846956e-05	0.00052701053	0.004940592	0.10754081	0.09306038	0.20682295	0.10334655	0.31886697	0.0935995	0.03461207	0.0088583995	0.0023844014	0.0013965048	0.0008245388	0.00037826915	0.02282219
t	7.463812e-09	9.099806e-09	1.0899749e-08	2.3400456e-07	3.8430528e-05	0.0023934375	0.050077833	0.03195712	0.051091343	0.6110569	0.19970971	0.040568035	0.002168275	0.0029180166	0.0020643075	0.0011750768	0.00068459305	0.004096597
a	2.7276316e-08	2.6339572e-08	2.8897919e-08	3.1835768e-06	2.675907e-05	0.0025844746	0.0017083245	0.11188242	0.15683019	0.65416497	0.060232528	0.011529394	0.00012813021	0.00016082643	0.00023139821	6.372846e-05	0.00027076603	0.00018285163
p	2.6252012e-09	4.391572e-08	1.693903e-06	7.903337e-06	2.7464295e-05	0.0016636506	0.025088375	0.17546418	0.3840627	0.20148863	0.1768353	0.020235103	0.005921594	0.0048874007	0.0015579666	0.0015630899	0.00035912017	0.00083574705
e	6.835091e-08	3.9739856e-08	5.48648e-08	2.3196394e-06	1.6827646e-05	0.00042405457	0.00075737265	0.03644103	0.096855216	0.59000254	0.21570027	0.053778645	0.00051551877	0.0010145316	0.0015628306	0.00042076738	0.001622581	0.0008853055
r	1.2353558e-08	5.6803337e-08	3.8959e-07	3.8440453e-06	3.1659223e-05	0.0018982098	0.01336016	0.05697245	0.15175523	0.3741135	0.31453714	0.055489883	0.013074953	0.009781038	0.00325884	0.0028634097	0.00075680856	0.0021024707
ò	1.0363788e-08	4.585598e-09	9.272762e-09	1.0697127e-06	3.2621545e-06	0.00018436572	0.0009387156	0.025726547	0.051179357	0.51043487	0.32233706	0.07397106	0.0011166675	0.0018774607	0.0029818297	0.00087957224	0.0058354335	0.0025327296
e	9.628532e-10	1.1390935e-09	1.970938e-09	4.029239e-07	2.6744638e-06	0.0012437679	0.013405538	0.020394253	0.017214216	0.3937115	0.38481793	0.12883236	0.026821677	0.00620377	0.002285812	0.00075510785	0.00015462234	0.0041563823
m	2.3443947e-10	1.9501552e-10	5.3651444e-10	6.12283e-08	6.6771105e-07	1.2476835e-05	0.00023652847	0.00045813606	0.0040876428	0.11102092	0.36344048	0.4183669	0.026186163	0.031264428	0.032231256	0.0060394513	0.0011790376	0.005475816
è	7.722057e-09	2.3129594e-09	2.3148967e-09	6.6056754e-07	9.822772e-07	0.00013450014	0.00037317243	0.011847397	0.019413864	0.5352823	0.312635	0.10126356	0.003743432	0.004376407	0.0050689997	0.0011780354	0.0034135473	0.0012680889
a	2.4008553e-10	7.1589956e-10	1.1664125e-08	4.9324225e-08	3.8932123e-07	4.5883975e-05	0.00191778	0.0053285817	0.010429101	0.16136357	0.26798266	0.375924	0.04253012	0.103689335	0.013502813	0.012921531	0.0039663343	0.00039784078
m	3.7671777e-09	1.1891678e-09	8.772254e-10	5.5828753e-08	7.908443e-07	4.9537207e-06	3.1089614e-05	1.994496e-05	0.00017060812	0.019181915	0.11237942	0.38669518	0.10247575	0.17662643	0.14859343	0.034716908	0.002748297	0.016355233
u	1.0141144e-07	1.532587e-08	2.8828164e-09	6.394003e-07	2.7933996e-07	1.1517182e-05	7.413447e-05	0.0011956815	0.006142741	0.14399049	0.33707115	0.35466087	0.021628264	0.050791368	0.044197332	0.011400772	0.027319914	0.0015147775
p	2.9218947e-11	4.4958627e-11	6.0591003e-09	1.621293e-07	4.6836553e-07	1.6262546e-05	0.00022905922	8.850006e-05	0.00031188497	0.0022764164	0.019154847	0.04089615	0.054153647	0.5699104	0.1586265	0.14313307	0.007313699	0.0038888797
i	8.9352795e-08	2.4527418e-08	6.5154033e-09	1.4679847e-06	7.847311e-07	9.057124e-06	1.3803499e-05	8.771599e-05	0.00031747745	0.006066368	0.044874992	0.2563992	0.016129225	0.20592317	0.30023772	0.081113175	0.07254148	0.016284171
a	1.7562213e-10	2.2003008e-10	1.4242952e-09	1.1346802e-07	3.0969866e-07	1.1849687e-05	7.821152e-05	1.3531606e-05	0.00010662441	0.0012919296	0.00781568	0.031631384	0.06083158	0.48460168	0.25778416	0.13115084	0.009309824	0.015372333
c	1.0119523e-09	2.1731225e-10	4.9634637e-11	2.6087546e-08	3.7900367e-08	1.3250113e-06	1.3279785e-05	2.634062e-06	1.781671e-05	0.0013952212	0.005165742	0.04884904	0.034562863	0.36482847	0.40344876	0.096441835	0.008200362	0.037072655
è	1.5823491e-07	5.239916e-08	7.588296e-09	3.504509e-06	2.0994883e-06	2.392505e-05	1.5387537e-05	0.00028437222	0.00064981804	0.025813539	0.08688829	0.2716887	0.008334203	0.1076539	0.1770345	0.065364555	0.23969997	0.016542973
o	1.112171e-09	3.9960069e-10	8.4371965e-10	3.6177374e-09	2.351218e-08	7.754286e-07	2.3398628e-05	1.1443378e-05	5.854767e-05	0.0035316187	0.009850515	0.07659822	0.007609035	0.42088345	0.10358571	0.21911494	0.13858657	0.020145765
n	1.2717899e-09	3.4666028e-10	1.4228511e-10	3.0288284e-08	3.2339454e-08	1.1474701e-06	2.4431786e-06	9.601289e-07	4.2595243e-06	0.00013599686	0.00072471466	0.00896849	0.02469855	0.19393262	0.38098204	0.12514283	0.0047919494	0.26061392
e	1.2310613e-07	1.9251145e-08	4.871415e-10	1.4820375e-07	4.9963106e-08	7.2124567e-07	1.6819178e-06	1.2346674e-05	1.6908445e-05	0.0011902762	0.002451508	0.021145405	0.0037786374	0.2221103	0.3325106	0.18919179	0.21975261	0.0078369
c	1.1597894e-10	1.582093e-11	2.1322072e-10	5.0476223e-09	9.98849e-09	7.3308615e-07	4.8279497e-05	6.5578038e-06	9.728068e-06	0.00018537276	0.0004397045	0.0016659207	0.006284751	0.27486226	0.16807298	0.4778347	0.041173723	0.029415235
e	1.8620327e-08	1.1461218e-08	1.3149747e-09	1.1509331e-07	6.0697644e-08	8.4763093e-07	2.2651884e-07	1.1069967e-05	1.7800128e-05	0.00022051076	0.00056046445	0.008065922	0.0011463193	0.0607893	0.23445006	0.32453644	0.31209353	0.058107324
t	1.2348923e-09	1.9703088e-10	3.7620876e-10	3.4683072e-08	1.2049414e-08	1.8249666e-06	1.0511748e-05	3.4253355e-06	1.8122772e-05	0.00016806	0.00046538954	0.0025392706	0.0047843778	0.121771075	0.18951432	0.23301126	0.111566655	0.3361457
a	2.6980285e-07	8.0215145e-08	1.1805483e-08	1.1330195e-06	1.8947482e-07	3.2748665e-06	1.3576954e-06	2.0185404e-05	2.1117798e-05	8.4840714e-05	0.00017237761	0.001902235	0.0040504686	0.090070054	0.21826002	0.35892388	0.11316283	0.21332566
t	1.3678592e-09	1.6610925e-10	9.979071e-10	7.087183e-08	4.3068045e-08	4.8283814e-06	3.3050324e-05	7.081049e-06	2.2784365e-05	0.00027359495	0.000458174	0.002298341	0.006481718	0.15144233	0.19256532	0.31730372	0.06684865	0.26226023
r	4.5370786e-07	1.3430073e-07	1.2589733e-08	1.2924392e-06	2.155557e-07	3.1638876e-06	1.1711521e-06	2.0582971e-05	1.47863875e-05	9.741303e-05	0.00014250862	0.0015904151	0.0013735546	0.047914185	0.14540969	0.30233294	0.18542433	0.31567317
ò	6.452044e-10	3.801333e-10	3.3049807e-10	4.3833726e-08	4.3008377e-08	5.860074e-07	1.3441246e-06	4.1902813e-06	2.789457e-05	6.3076615e-05	0.00022040143	0.00081522996	3.9484385e-05	0.0040701446	0.013976727	0.04001439	0.77888787	0.16187863
o	2.4965479e-08	2.465283e-09	5.4226474e-11	4.437302e-09	7.424845e-10	7.649512e-08	5.0591757e-07	1.9236264e-05	4.7489273e-05	0.0013949237	0.0005282807	0.0034962671	0.00010219485	0.0012205633	0.0028513938	0.004218534	0.6265172	0.3596033
</S>	1.1721126e-08	2.07165e-09	7.93012e-10	1.4328772e-07	7.586896e-08	1.553028e-06	1.2709799e-06	8.3062855e-07	1.3005086e-06	3.1437965e-05	7.153047e-05	0.00043948737	0.00091896753	0.0127602015	0.03945723	0.04125432	0.007748656	0.897313
