 	dovevo	comprare	il	pane	ogni	giorno	</S>
ì	0.48001918	0.010896446	0.026516395	0.0074844444	0.009320762	0.089523144	0.37623963
c	0.9973168	0.0013563513	0.00039611978	4.1293847e-06	0.00021586707	0.00044078688	0.00026972734
h	0.8720102	0.079600655	0.0375551	0.001096124	0.0018220873	0.003515134	0.004400745
a	0.5944099	0.276737	0.043411277	0.037274472	0.0013759612	0.0043550874	0.04243632
n	0.008224145	0.96052843	0.02198644	0.005942125	0.00010898213	0.00031255916	0.002897137
a	0.0019851236	0.9549791	0.036037542	0.0055726976	0.000105160056	0.00056139386	0.0007590749
v	0.00017071619	0.83644366	0.12928389	0.0025858246	0.005103621	0.014443589	0.011968723
o	0.00012714525	0.8386799	0.13772266	0.019929541	0.00036154495	0.001636984	0.0015422483
r	7.014288e-05	0.48030818	0.38239896	0.028185213	0.015213906	0.07128149	0.022542
à	0.00017920724	0.40643755	0.57306606	0.011651834	0.0008975381	0.0051018326	0.002666001
s	0.00020215292	0.086282566	0.906363	0.001520088	0.00018858041	0.0015767089	0.003866883
o	4.3104912e-05	0.016506964	0.9706379	0.003610144	0.0013794986	0.0046291994	0.0031932748
o	1.1541603e-06	0.0054776287	0.95605093	0.019841941	0.0037160711	0.0032134072	0.011698787
t	9.488424e-07	0.0013041939	0.70383066	0.1711867	0.08495038	0.022019798	0.016707346
s	0.00014290615	0.0054198657	0.46392405	0.48923522	0.02282075	0.017441599	0.0010156605
o	0.0002110357	0.018185945	0.054657537	0.80464643	0.0059000086	0.017893244	0.09850571
m	3.4004715e-05	0.003946426	0.089145906	0.12791397	0.041580867	0.04384203	0.6935368
ì	4.6282512e-05	0.00045217303	0.025432186	0.5761941	0.1225794	0.20067804	0.0746178
k	1.16821875e-05	0.00088011485	0.037199832	0.07500153	0.17038693	0.13181633	0.5847036
u	2.553763e-06	3.6469966e-05	0.003205375	0.087366976	0.578593	0.18001164	0.15078394
à	5.7313987e-06	2.1047523e-05	0.0015516718	0.0435931	0.51956385	0.19955695	0.23570761
i	1.1822988e-08	5.988611e-07	0.00011486478	2.1614998e-05	0.3233126	0.6627797	0.013770592
m	5.5749484e-07	2.6923854e-05	0.00067234	0.00071972643	0.26074746	0.3763705	0.36146247
è	8.111619e-07	1.1113644e-05	0.00040376867	6.104827e-05	0.33448634	0.64985615	0.015180785
r	4.5377083e-06	4.378629e-06	7.52611e-05	3.1448562e-05	0.02693942	0.9621371	0.010807853
i	4.8618755e-08	2.4721328e-06	3.1672163e-05	2.1187998e-05	0.009404248	0.98640776	0.0041325865
</S>	5.652244e-06	7.3009783e-06	0.00038647876	5.0090625e-06	0.0020065089	0.04505443	0.9525347
