 	ha	che	sono	usciti	</S>
è	0.9511918	0.0055764676	0.00085912156	0.011044998	0.031327676
n	0.6952644	0.18612903	0.10168936	0.0077752233	0.009141984
a	0.4385482	0.49784148	0.035440534	0.022991106	0.0051786527
g	0.0018228119	0.7063561	0.26820636	0.016700173	0.006914498
u	0.0030017572	0.65456325	0.29036707	0.03995238	0.012115566
ì	0.00020637296	0.029365826	0.83969545	0.09258005	0.038152322
k	6.510933e-05	0.00055384	0.9969754	0.0010499243	0.0013556976
a	0.0035850406	0.038406543	0.8882671	0.064000376	0.00574096
n	0.0003736708	0.0015185296	0.12198343	0.6370638	0.23906052
e	9.72039e-06	0.0010151368	0.0407016	0.5948122	0.36346135
</S>	8.741031e-05	0.00020342684	0.012914983	0.32378978	0.66300446
