 	ora	io	sto	studiando	di	diventare	medico	</S>
à	0.81860757	0.0009828401	0.00090875756	0.011095856	0.0074210633	0.0052085216	0.012341534	0.14343387
r	0.95513535	0.042963367	0.0012761288	0.0005227402	3.2831835e-05	1.8928034e-05	1.7431552e-05	3.3239317e-05
t	0.9540525	0.042261336	0.002680652	0.00093847554	4.1863226e-05	1.17797335e-05	7.1859477e-06	6.226883e-06
e	0.104845025	0.047824807	0.10545613	0.065565675	0.1996897	0.15563335	0.09449565	0.22648966
n	0.09912151	0.8062523	0.07020635	0.021794945	0.0018558698	0.00027685982	6.614125e-05	0.0004259534
a	0.018503016	0.4562228	0.3696515	0.07185032	0.051956374	0.021750418	0.0055586123	0.0045068967
i	0.00061066006	0.91840005	0.074829385	0.0047201477	0.00049160916	0.0002679849	0.0001864049	0.0004937573
v	0.00027238374	0.8901244	0.104854725	0.0042100023	0.00029147667	4.7610443e-05	1.2163208e-05	0.00018726659
ò	0.0001246791	0.30492744	0.6535956	0.039420355	0.0017358359	0.00013117198	3.655878e-05	2.8311524e-05
s	0.00057944923	0.3166198	0.5628281	0.11276612	0.005302687	0.0010022455	0.0003637551	0.00053773675
t	2.9298244e-05	0.13957718	0.72509164	0.12880741	0.005881627	0.00048393148	7.2845025e-05	5.6081193e-05
è	0.008353479	0.06875446	0.37384805	0.051016264	0.06564426	0.061344232	0.09778485	0.27325442
o	0.000119512944	0.031276092	0.36647478	0.58764076	0.012577542	0.0007041628	0.00019928506	0.0010079104
s	1.813566e-06	0.0012861795	0.019612506	0.8929687	0.08136681	0.002103267	0.00025928114	0.0024014132
t	1.5914711e-06	0.0025016703	0.04197838	0.90902525	0.044988748	0.001251622	0.00014456749	0.00010812106
u	0.00012804808	0.046902675	0.13190046	0.26821712	0.11383202	0.050168533	0.07377709	0.315074
d	1.7441287e-06	0.000100737874	0.0013961676	0.644653	0.31682447	0.014752159	0.00871517	0.013556488
i	1.3467636e-05	0.0026000056	0.011520418	0.37016138	0.3959861	0.11927865	0.053240824	0.047199175
è	3.0189796e-05	0.0008702169	0.0022177477	0.14000747	0.3146268	0.064540915	0.15172759	0.3259791
o	7.623519e-09	1.5204537e-05	2.4165385e-05	0.6865898	0.29541236	0.015058078	0.0008114007	0.0020890934
n	5.9959916e-06	1.729086e-05	3.835512e-05	0.08489634	0.60928184	0.27240506	0.015736822	0.017618237
a	2.6949489e-05	2.6991802e-05	0.00010359366	0.08500682	0.74715346	0.15639381	0.010368806	0.00091953913
g	1.3675406e-06	0.00013073055	0.00034475085	0.014450137	0.17393893	0.705291	0.09102148	0.014821584
h	8.143249e-06	4.3150703e-06	1.3916749e-05	0.0013049225	0.1220585	0.7110792	0.13383073	0.031700276
e	2.6892687e-05	0.00044349057	0.0015336646	0.036627024	0.12727958	0.26598272	0.2131979	0.3549087
t	7.423365e-06	1.2170573e-05	1.1810499e-05	0.0004325248	0.019790536	0.38484877	0.3866086	0.20828818
t	2.946968e-06	6.1939807e-07	1.0531363e-06	2.4311816e-05	0.0035921147	0.37250277	0.5383185	0.08555765
ò	7.2175084e-07	1.4807671e-06	6.3025427e-06	0.0009152105	0.030829923	0.31208557	0.22752286	0.42863792
m	5.2605905e-08	2.1352157e-07	2.2197437e-07	0.000392161	0.011247769	0.19254431	0.28969896	0.50611633
e	2.2186436e-08	3.2401067e-07	4.2712142e-07	0.000356832	0.0104329735	0.43836603	0.2979594	0.25288403
s	5.6029506e-07	1.8275955e-06	2.8552888e-06	5.1221858e-05	0.0007106417	0.06972304	0.66332686	0.26618296
s	7.113039e-08	3.6329013e-08	3.7868755e-08	2.1806527e-06	0.0001782275	0.10775725	0.80320114	0.08886112
è	2.6682997e-07	3.299885e-07	1.3262138e-06	0.00017072225	0.0045660227	0.057913058	0.31388283	0.6234654
r	4.4794398e-08	1.948568e-08	1.4728943e-08	2.3576069e-05	0.00076334656	0.017293282	0.27069518	0.7112245
e	2.3742285e-08	9.357296e-08	1.4865685e-07	4.976203e-05	0.0009761808	0.054178715	0.49783728	0.44695783
</S>	1.233307e-06	1.4834234e-06	2.8192098e-06	4.369054e-05	0.00027367074	0.00902302	0.4818576	0.5087965
