 	sto	ancora	cucinando	</S>
s	0.55617565	0.00860928	0.22060187	0.21461321
t	0.9762382	0.020444836	0.0028454429	0.00047159934
e	0.32594585	0.043989558	0.11808703	0.51197755
a	0.3240682	0.4029945	0.14333709	0.12960027
n	0.026400521	0.9678092	0.0028247298	0.0029655218
k	0.002845037	0.97641546	0.018418398	0.002321066
ò	0.16103858	0.13212128	0.1647181	0.542122
r	0.011314471	0.06777963	0.13249528	0.78841066
a	0.0050378707	0.72063214	0.18762061	0.08670936
m	3.254531e-05	0.022623546	0.48579353	0.4915504
a	1.4954268e-05	0.1739701	0.6622903	0.16372462
r	4.8240995e-06	0.00084835564	0.85596853	0.14317827
è	2.8004545e-06	0.009345578	0.8872899	0.103361756
o	6.3586793e-07	0.00085864414	0.67051685	0.32862392
n	6.4763617e-06	0.00012103817	0.30730057	0.69257194
t	3.808368e-07	0.0012650841	0.987341	0.01139347
a	7.2407033e-06	0.0021075278	0.32453927	0.673346
</S>	1.7229277e-05	7.925694e-05	0.109784864	0.89011866
