 	non	aveva	da	stare	</S>
e	0.29425904	0.04108146	0.028140893	0.015259487	0.6212591
n	0.5240527	0.46771935	0.0061929952	0.0002686237	0.0017664231
ì	0.04659594	0.8933861	0.048548363	0.00407762	0.0073919934
c	0.014164063	0.97238976	0.008750176	0.0014619512	0.0032341215
h	0.047630187	0.74497336	0.11171484	0.028070686	0.06761091
e	0.04124412	0.79463625	0.1056487	0.006606395	0.0518644
n	4.094024e-05	0.001414328	0.85635597	0.024570659	0.11761814
a	8.33194e-05	0.0028333622	0.96001995	0.019189807	0.017873567
s	1.7479357e-05	9.064742e-05	0.078545645	0.8314041	0.089942135
t	8.306416e-05	0.00043153227	0.7266866	0.20723528	0.06556354
a	0.00049205206	0.0008987512	0.61986166	0.045608092	0.33313936
s	1.6953423e-06	2.863638e-06	0.0028477348	0.7065124	0.29063535
ì	3.6522474e-06	8.1744265e-06	0.0073658302	0.9109554	0.08166682
</S>	2.198711e-07	9.1653936e-07	0.0008281749	0.17593582	0.8232349
