 	volevo	Maria	domani	di	venire	da	me	</S>
ì	0.8995411	0.0008284759	0.0051134927	0.005984086	0.0073004155	0.0017051618	0.013953426	0.065573856
t	0.97852707	0.017206011	0.0036469703	0.00014257224	3.304748e-05	4.97762e-05	0.00020295726	0.00019169155
e	0.9398672	0.042580865	0.011308983	0.0047485605	0.0008907793	9.969487e-05	0.0002544475	0.00024960388
l	0.6561366	0.30533797	0.034544144	0.0024216678	0.00032387886	0.00010437433	0.00022321696	0.0009082047
a	0.10141022	0.35141432	0.18658918	0.23505525	0.07850227	0.008993461	0.023610838	0.014424456
e	0.10017901	0.04191224	0.068287455	0.3376508	0.055128783	0.04512931	0.17271036	0.17900205
M	0.0005097096	0.95972884	0.038446635	0.00092769257	0.00011264732	2.9221404e-05	5.2890773e-05	0.00019231578
a	0.023959154	0.1112611	0.08081297	0.3155142	0.16044901	0.057896815	0.094286054	0.1558207
r	0.0024015394	0.00065589906	0.0007040378	0.212195	0.13465238	0.09207134	0.25316444	0.30415538
ì	0.005007634	0.062138617	0.034718923	0.25454465	0.11976641	0.08369867	0.22250997	0.2176152
a	0.027089605	0.3321043	0.040614765	0.46098927	0.027590437	0.0069273203	0.03775939	0.06692495
à	1.8389776e-05	0.0043737884	0.5595159	0.39428404	0.028715441	0.0032734335	0.005452641	0.0043664454
v	6.54208e-06	0.018679721	0.9566408	0.02315605	0.00041955127	0.00039672703	0.000507616	0.00019304502
v	1.4952009e-06	0.13498494	0.82930905	0.0348984	0.0007368226	3.1355197e-05	2.8160464e-05	9.8022665e-06
r	0.00064288353	0.0038431464	0.010176824	0.075483814	0.18681674	0.10616941	0.09644753	0.5204197
i	0.008185825	0.08207874	0.07609323	0.18349183	0.21189463	0.026241148	0.052291572	0.35972306
n	1.0197983e-05	0.00018332795	0.007484376	0.6504846	0.22892877	0.05774673	0.018310066	0.036851935
a	2.0087774e-07	3.694721e-05	0.00508539	0.3317516	0.4869188	0.10787667	0.048025455	0.020304872
r	1.9279098e-05	3.4801158e-06	0.0005774322	0.08192485	0.52263683	0.33839813	0.036627598	0.019812431
t	8.743477e-07	4.6649093e-05	0.0042874743	0.04192825	0.3785253	0.3524739	0.17565095	0.04708656
i	0.00015232524	0.003233385	0.030276816	0.084724955	0.13200466	0.08152894	0.23099348	0.43708542
s	2.3644743e-06	2.118345e-06	5.2591175e-05	0.009676854	0.14312147	0.57178396	0.13222203	0.14313862
e	7.7052226e-07	6.5500262e-06	0.0001672631	0.0015642442	0.0439899	0.4911654	0.3499318	0.11317411
m	1.9895377e-05	2.130006e-06	1.6490654e-05	0.0042724498	0.041743167	0.37102312	0.37306505	0.2098577
è	2.344943e-06	1.2821178e-05	0.00010500394	0.0007689366	0.01859725	0.38839203	0.5120804	0.08004122
n	4.903811e-08	1.6149091e-06	0.00011628749	0.0017320699	0.00017044663	0.017030593	0.8254674	0.15548149
a	6.366255e-10	6.5741165e-07	0.0002121987	0.0011999516	0.000354609	0.022770876	0.9521771	0.023284653
</S>	2.533996e-06	5.125368e-06	1.6352384e-05	0.0009805912	0.0011361451	0.038947225	0.32698303	0.63192904
