 	i	bambini	piccoli	vengono	vestiti	dal	padre	e	dalla	madre	</S>
t	0.7538081	0.110347636	0.014703409	0.011733597	0.0053155106	0.0020422784	0.023223618	0.004174333	0.007339015	0.013251058	0.05406135
a	0.7162868	0.27599204	0.0012301538	0.0035088165	0.0003295824	0.00080944184	0.001335169	1.737512e-05	0.00044968477	2.1394335e-05	1.9583702e-05
p	0.09713547	0.8687473	0.026308632	0.0038464563	0.0012483115	0.0008742088	0.0008122112	0.00027238583	0.00038214453	4.5339795e-05	0.0003277411
e	0.04335358	0.94435054	0.0066863587	0.0045800353	0.00023406713	0.00039881677	0.00031292564	4.5297143e-06	6.491917e-05	9.487451e-06	4.7621124e-06
d	0.005455381	0.78299665	0.14362854	0.04964091	0.006615052	0.0075011556	0.00209132	0.00032839167	0.0011488725	0.00017637259	0.00041741837
ì	0.0034451683	0.5274459	0.37060657	0.09265968	0.0015170447	0.0022665465	0.0014772573	1.3777078e-05	0.00049278245	5.680106e-05	1.8396777e-05
a	0.004972398	0.32925463	0.43471894	0.20782036	0.006300818	0.0053470116	0.004023392	0.0006585463	0.004646357	0.0012422651	0.0010151941
m	0.00026551815	0.037679233	0.5741719	0.3206781	0.009953827	0.009172205	0.029161273	0.001240446	0.014568981	0.000799151	0.0023093612
i	0.0019703875	0.29801777	0.6257396	0.06733862	0.001754914	0.0026259546	0.0020291186	2.3769517e-05	0.0004196638	5.377698e-05	2.6413987e-05
n	3.86813e-05	0.0023485415	0.8906645	0.09704056	0.0042866594	0.0018469847	0.0015486154	0.0005159049	0.0010358937	0.00014350112	0.00053016865
c	1.7324674e-05	0.0032460792	0.70074135	0.25557932	0.012823123	0.013879574	0.010811733	0.00012878282	0.0023626653	0.0002593978	0.00015062744
i	0.0005237621	0.006036804	0.15792762	0.39247483	0.08406524	0.022099806	0.15686549	0.013619011	0.04847117	0.017982151	0.09993406
à	0.00037003568	0.0034788465	0.024364442	0.50384325	0.1778212	0.015094072	0.11932295	0.012434044	0.06024779	0.04308784	0.03993553
è	1.046571e-08	3.386986e-06	0.0083453385	0.983294	0.0058867726	0.0018156077	0.00040291523	4.1086416e-05	0.00014657213	2.853762e-05	3.577198e-05
r	1.8595333e-06	7.287393e-05	0.0015188429	0.9299446	0.028311212	0.023454664	0.008737333	0.001075928	0.0053901426	0.0012073064	0.00028524088
k	6.2853593e-07	0.000109987224	0.0026715607	0.9785938	0.011731316	0.006045448	0.000687059	1.0283069e-05	0.0001314454	1.1355204e-05	7.148665e-06
u	0.0010420561	0.0046682702	0.042135775	0.3350643	0.10265397	0.022360563	0.040863156	0.03934429	0.028239023	0.050165907	0.33346274
t	9.292385e-08	3.682832e-06	0.00031056983	0.6803031	0.26035157	0.015731785	0.03175675	0.0011765377	0.006965137	0.0011067695	0.002293936
t	2.5467275e-08	2.792899e-06	0.00030578286	0.35928923	0.5569708	0.041165438	0.025589127	0.002592648	0.0091340095	0.002281328	0.0026688473
e	9.9033605e-06	0.00012437119	0.00454426	0.4123195	0.33848232	0.028992474	0.039488655	0.026434578	0.021111691	0.043063413	0.08542892
n	1.0183623e-08	1.6399461e-07	1.8736742e-05	0.116108425	0.6963251	0.08983791	0.077509336	0.0070654904	0.008346328	0.0019250765	0.002863444
d	1.3086028e-08	4.1285034e-07	4.2766806e-05	0.023337252	0.8903259	0.040456504	0.02732406	0.004863787	0.0074330014	0.0026261772	0.0035900893
i	2.415511e-06	3.5771514e-05	0.0005678095	0.06435764	0.41175553	0.28840452	0.039292365	0.017501036	0.020517724	0.017957935	0.1396073
m	5.484342e-07	1.2947424e-05	6.0968086e-05	0.023830079	0.6680689	0.10750512	0.12788825	0.0116793625	0.009252609	0.024109738	0.027591487
è	9.753037e-09	1.9500958e-07	2.2852439e-05	0.0043195058	0.6635397	0.19101234	0.08711453	0.01973069	0.015957417	0.006929216	0.011373558
n	4.918504e-10	7.889412e-08	4.692373e-05	0.009885439	0.35355434	0.43426713	0.15668543	0.022378696	0.012305648	0.0035447194	0.0073315925
i	4.6099738e-10	1.755142e-08	3.7772813e-06	0.0021925652	0.5029325	0.36527514	0.09710762	0.013418377	0.012831751	0.0034265663	0.0028116042
à	1.2041969e-09	1.6784828e-08	6.7433956e-07	0.00031680695	0.04175783	0.22222903	0.42738283	0.27936915	0.018368635	0.006056917	0.0045180675
t	1.9051725e-09	7.005106e-09	2.5966918e-07	8.3946565e-05	0.005693084	0.35745713	0.4476527	0.055565067	0.12508272	0.008035517	0.00042963919
t	1.3843411e-10	1.2048884e-09	8.217605e-08	5.8520574e-05	0.0041261436	0.7884935	0.19511819	0.0025298037	0.009468682	0.00016897096	3.6122554e-05
o	8.33766e-09	4.6287306e-07	0.00015671478	0.0054454547	0.106240526	0.42107597	0.02683984	0.085046336	0.02416149	0.03638655	0.2946466
n	2.2186535e-09	3.3729414e-08	4.847327e-08	1.7644943e-05	0.0018198945	0.04159129	0.6603998	0.2010676	0.062351312	0.018241456	0.014510855
c	5.3437305e-10	1.7176854e-09	1.5999677e-07	9.138835e-06	0.025080035	0.30167493	0.27573586	0.2521853	0.07824222	0.031348158	0.03572419
i	3.4497787e-09	3.6411517e-08	4.6891273e-05	0.0011238719	0.048330676	0.33610523	0.03392578	0.079238534	0.06945653	0.04891167	0.38286078
ù	1.11040585e-07	1.5783729e-06	1.0740681e-06	2.8299612e-05	0.0015095819	0.03640699	0.19547276	0.265568	0.1223739	0.24289492	0.13574277
r	2.4488184e-10	5.002941e-10	3.1024017e-09	3.158382e-07	0.00024428384	0.005736052	0.11771361	0.02828739	0.7587745	0.06926344	0.019980447
i	3.8825104e-10	5.965029e-10	6.8295445e-09	1.1604812e-06	0.00061029993	0.10328	0.20276162	0.010798385	0.66461676	0.016772658	0.001159136
c	1.4808067e-10	1.7967359e-09	4.6458563e-08	9.250428e-06	0.0007057797	0.0045467857	0.040440045	0.28741875	0.38377962	0.20030266	0.08279704
e	1.334611e-09	8.4144447e-10	2.610283e-08	6.092626e-07	0.001223389	0.008044707	0.02142781	0.038724378	0.50061315	0.26895896	0.16100696
à	9.652788e-09	1.3544842e-07	2.4144174e-07	1.137197e-05	0.00037139887	0.0006995693	0.0070398343	0.031683926	0.114073925	0.7255909	0.1205286
t	1.948944e-09	1.3772558e-09	1.2026714e-09	9.501692e-08	1.5508869e-06	1.6817252e-05	0.0016827601	0.00032956692	0.51583433	0.47244698	0.009687855
t	1.6468711e-10	8.758854e-11	8.7954664e-11	9.458873e-09	2.3938744e-06	0.00029852145	0.0069257733	0.00055877416	0.88030976	0.10810944	0.0037953437
i	6.253771e-11	2.6817953e-10	1.17888874e-07	4.537347e-06	0.0016784867	0.00056358613	0.0045907344	0.013007185	0.045414865	0.08731699	0.8474235
m	2.8228753e-09	2.6468594e-08	1.9384869e-08	9.0727167e-07	1.5878251e-05	1.4391379e-05	0.0008897562	0.0012238804	0.079681665	0.4342726	0.4839009
à	2.1100058e-10	7.8744615e-11	2.4878986e-09	6.55807e-08	5.9933463e-05	0.00049979414	0.0037408532	0.0043788883	0.18369968	0.3074678	0.50015295
n	4.0430848e-10	2.6811275e-10	1.5100989e-10	1.5155308e-08	5.9958993e-06	2.8916143e-05	0.0031460042	0.0014318195	0.12444118	0.6377312	0.23321487
