 	dovevo	comprare	il	pane	ogni	giorno	</S>
ì	0.48001918	0.010896446	0.026516395	0.0074844444	0.009320762	0.089523144	0.37623963
c	0.9973168	0.0013563513	0.00039611978	4.1293847e-06	0.00021586707	0.00044078688	0.00026972734
h	0.8720102	0.079600655	0.0375551	0.001096124	0.0018220873	0.003515134	0.004400745
a	0.5944099	0.276737	0.043411277	0.037274472	0.0013759612	0.0043550874	0.04243632
n	0.008224145	0.96052843	0.02198644	0.005942125	0.00010898213	0.00031255916	0.002897137
a	0.0019851236	0.9549791	0.036037542	0.0055726976	0.000105160056	0.00056139386	0.0007590749
v	0.00017071619	0.83644366	0.12928389	0.0025858246	0.005103621	0.014443589	0.011968723
o	0.00012714525	0.8386799	0.13772266	0.019929541	0.00036154495	0.001636984	0.0015422483
r	7.014288e-05	0.48030818	0.38239896	0.028185213	0.015213906	0.07128149	0.022542
à	0.00017920724	0.40643755	0.57306606	0.011651834	0.0008975381	0.0051018326	0.002666001
s	0.00020215292	0.086282566	0.906363	0.001520088	0.00018858041	0.0015767089	0.003866883
o	4.3104912e-05	0.016506964	0.9706379	0.003610144	0.0013794986	0.0046291994	0.0031932748
t	1.1541603e-06	0.0054776287	0.95605093	0.019841941	0.0037160711	0.0032134072	0.011698787
o	3.2190776e-06	0.0034460437	0.6623377	0.30179203	0.009243435	0.013026646	0.01015093
t	3.1225745e-06	0.0008593889	0.24179411	0.6062233	0.10596053	0.030039277	0.01512032
s	1.1051784e-05	0.00034601643	0.06986592	0.8584944	0.032884005	0.027165152	0.011233391
o	0.00021215247	0.054864936	0.06094439	0.81327254	0.0054653306	0.01491437	0.050326258
m	4.9367263e-05	0.0041646287	0.07929307	0.14378811	0.0439287	0.040199928	0.68857616
ì	4.2533837e-05	0.00025107304	0.014900362	0.5359498	0.15676571	0.21270156	0.07938895
k	1.1701039e-05	0.00065049744	0.026315806	0.0685168	0.17428698	0.13391034	0.5963079
à	2.6582593e-06	2.7206816e-05	0.0018972745	0.06667547	0.60683674	0.18636271	0.138198
i	9.505779e-07	8.9851485e-05	0.01836715	0.0005959669	0.23501322	0.3070554	0.43887746
m	1.8935883e-07	1.9212896e-06	0.00017909353	0.00072487525	0.32478648	0.22502238	0.4492851
è	5.7287207e-07	4.621166e-06	0.00037986366	0.0011702878	0.34605742	0.5841772	0.0682101
r	1.7185093e-07	7.5255787e-07	7.979637e-05	1.6369071e-05	0.0625672	0.9292417	0.00809399
i	4.0999865e-08	1.2523443e-06	2.5001378e-05	3.611777e-05	0.01985847	0.97511864	0.0049605803
</S>	3.1724385e-06	7.054067e-06	0.00044762457	1.9372239e-05	0.010253927	0.057336338	0.9319325
