 	non	mi	aspetti	non	vengo	</S>
m	0.10580206	0.010671504	0.02498745	0.007498544	0.43722403	0.41381642
ì	0.88856685	0.018526249	0.0023398865	0.00037939652	0.08586956	0.004317996
m	0.002995382	0.009342448	0.032898936	0.06630748	0.8736513	0.014804464
e	0.09279111	0.10279124	0.0850213	0.0382966	0.54762506	0.13347465
m	0.029509991	0.112522	0.4112635	0.02816682	0.18867104	0.22986665
ì	0.034959488	0.61894053	0.19187894	0.007282254	0.08680525	0.060133625
n	0.00069513504	0.027847424	0.7839349	0.04463015	0.117290124	0.025602264
i	0.005548613	0.031408332	0.18517342	0.014873221	0.7071139	0.055882476
e	2.263269e-05	0.002346158	0.20735243	0.6228477	0.04970524	0.11772577
n	0.00024489226	0.0019213384	0.15079004	0.5994946	0.18739101	0.06015818
è	0.00013776311	0.00026113566	0.002196092	0.02160473	0.942488	0.033312283
r	2.0924136e-07	7.2068275e-07	0.00020862739	0.018831601	0.9793195	0.0016392813
k	1.327977e-06	1.1358118e-06	1.7608205e-05	0.00017417749	0.9991867	0.0006190152
o	0.0032724107	0.0036878628	0.07998559	0.014278397	0.56483495	0.3339408
m	3.233043e-07	1.700788e-07	8.488072e-06	0.0002982565	0.025890147	0.97380257
e	9.3478306e-08	3.1093302e-07	0.00010030553	0.0044072587	0.86559874	0.12989336
</S>	4.410769e-06	6.552351e-06	0.00015077222	0.006131464	0.17244653	0.8212603
