 	vuole	andare	a	Lecce	</S>
i	0.6929431	0.009704666	0.0048812325	0.07665263	0.2158184
t	0.8957706	0.10042277	0.0012245198	0.0017269187	0.00085525046
è	0.6409269	0.3472789	0.0069390526	0.0037377556	0.0011173353
l	0.5130732	0.4740362	0.004659431	0.00682626	0.001404964
i	0.22074775	0.76814055	0.004111466	0.00675702	0.00024323078
n	0.0005499675	0.884278	0.07100032	0.03724409	0.006927558
a	0.00019421199	0.8209858	0.1503164	0.015364312	0.013139286
p	4.465088e-05	0.16710629	0.7410967	0.07104808	0.020704366
à	2.7636868e-05	0.15738396	0.7458014	0.0625431	0.034243807
i	0.00029253203	0.06824439	0.8346734	0.0735897	0.023199925
L	2.4336064e-06	0.0016661163	0.32402357	0.60987556	0.064432375
u	1.1640853e-05	0.0070209424	0.39804676	0.5868517	0.008068934
p	1.3267244e-05	0.0003455384	0.11515234	0.80640036	0.078088485
p	1.0564381e-05	0.0002629023	0.09047336	0.73936665	0.16988656
ì	0.00015085422	0.019490456	0.18855421	0.24959086	0.54221356
u	1.2505361e-05	0.00066206156	0.012586634	0.69344467	0.29329413
n	1.5239905e-06	1.7239794e-05	0.0011276661	0.71465284	0.2842007
a	1.333175e-07	2.9925435e-05	0.0056502027	0.6471044	0.34721532
</S>	6.8949103e-06	5.8445712e-05	0.0021687194	0.26373187	0.73403406
