 	ho	cosa	a	fare	</S>
è	0.8535101	0.0061278353	0.0034243166	0.07131966	0.06561803
c	0.49397388	0.06486572	0.14398743	0.2843609	0.012812121
h	0.38884082	0.14290066	0.1601355	0.21349454	0.09462846
o	0.11397687	0.60438323	0.026084775	0.009554021	0.24600111
t	0.0016924834	0.6012468	0.27392322	0.0059055733	0.1172319
i	0.005499647	0.608449	0.24654938	0.024851471	0.11465043
k	0.00031823525	0.022898281	0.7618714	0.11803365	0.09687844
à	0.0003199667	0.043389414	0.8278133	0.030143809	0.09833353
i	0.001114885	0.00027816268	0.22219871	0.7107376	0.06567066
</S>	1.8329009e-05	0.00018243304	0.047255855	0.11184015	0.8407032
