 	si	è	rotta	la	coppa	</S>
e	0.51854753	0.33914196	0.009578018	0.0029690426	0.049566463	0.08019692
g	0.21491885	0.3320298	0.43722105	0.011726245	0.0013260118	0.0027779588
l	0.02137238	0.012066129	0.9519177	0.012778303	0.0012648143	0.0006006839
à	0.13726452	0.03342693	0.59929067	0.033655766	0.007353742	0.18900837
s	0.097349174	0.062346384	0.4020085	0.35062167	0.01501293	0.07266134
t	0.04476042	0.06832587	0.20658831	0.50844985	0.038632732	0.13324283
i	0.113026835	0.06538267	0.13684285	0.134289	0.028842643	0.521616
e	0.0010023433	0.0008297542	0.013164904	0.93398386	0.008343069	0.042675976
c	0.00028680402	0.000959514	0.001117589	0.93104804	0.027629536	0.038958542
ò	0.00022573795	0.00061614555	0.00090466277	0.30404058	0.61988676	0.07432609
p	2.9790208e-06	0.0009332958	6.9162725e-06	0.04397601	0.9509972	0.0040835696
p	1.3137377e-06	0.00011473179	2.9889227e-06	0.012207862	0.9722501	0.0154230315
a	0.0012548817	0.0062134922	0.00089913234	0.01224446	0.924942	0.05444601
</S>	6.605312e-06	7.309978e-06	3.5151413e-06	0.0024478964	0.035645224	0.96188945
