 	non	ho	cosa	è	da	mangiare	</S>
e	0.35988817	0.088582896	0.002181554	0.032469355	0.008936288	0.13536887	0.37257287
n	0.3335072	0.56717473	0.09679093	0.0012545474	0.00045331437	0.000210064	0.00060920353
è	0.025322983	0.8328278	0.12501481	0.007573739	0.004659704	0.0024068316	0.0021941552
c	0.023063172	0.858665	0.10649475	0.007831927	0.0015978584	0.0016231913	0.0007241017
h	0.09270938	0.66269773	0.15906776	0.03050282	0.01912473	0.021647735	0.0142499
o	0.088234484	0.34993398	0.3466979	0.023449615	0.020463752	0.00844704	0.1627732
t	0.00012682896	0.010327134	0.65280676	0.111964464	0.084091745	0.014792458	0.12589067
i	0.00045582975	0.0091570355	0.7254797	0.101251945	0.11945128	0.016162243	0.028042046
è	3.538939e-05	0.00024808184	0.04849223	0.21570785	0.57212657	0.12860496	0.034784906
n	0.00012102382	0.0003668879	0.0013112467	0.634406	0.13715072	0.22367547	0.0029686377
a	2.4552457e-05	0.0007321594	0.012614685	0.15843387	0.69715893	0.12015049	0.010885298
f	1.539977e-05	2.953612e-05	0.00088358164	0.012893185	0.44910082	0.45742953	0.07964793
à	1.3139598e-05	4.228715e-05	0.00036299133	0.007711112	0.26951298	0.6334622	0.08889528
o	7.302044e-08	3.2952148e-06	1.985867e-05	0.030942934	0.010907634	0.936623	0.021503214
</S>	2.2264542e-06	3.765688e-06	2.3574952e-05	0.00052425475	0.0060965153	0.3296682	0.66368145
