 	l	ho	sentito	quando	veniva	</S>
t	0.73244095	0.072046235	0.00081029604	0.014241618	0.05523529	0.12522559
o	0.8299905	0.14446199	0.0034296259	0.008958885	0.012370679	0.0007882364
n	0.060648672	0.6786971	0.23909706	0.011688937	0.007300123	0.0025680962
ì	0.06822909	0.85101736	0.05517114	0.017771823	0.0061095944	0.0017010237
k	0.030393293	0.53616714	0.10905994	0.10231271	0.21426497	0.0078019444
u	0.026229357	0.7338356	0.11228862	0.07715401	0.040225696	0.010266727
s	0.002062378	0.049056225	0.097503684	0.06955493	0.6787139	0.10310893
a	0.00015116007	0.030938251	0.63658226	0.26266384	0.040175453	0.029489042
m	0.0006776064	0.005497355	0.30337706	0.17490664	0.40685827	0.10868303
ò	5.6420828e-05	0.0030017816	0.08644151	0.7118413	0.1324022	0.06625678
t	0.00031144192	0.0061878962	0.043468196	0.559112	0.3261178	0.0648027
t	6.4140403e-07	8.7865825e-05	0.0010437056	0.95067793	0.046821456	0.0013684623
e	0.004943869	0.015981639	0.024285914	0.59244114	0.034952577	0.32739493
è	3.830544e-06	5.024262e-06	3.7771268e-05	0.014317919	0.80064946	0.18498598
r	9.165287e-08	4.267141e-07	5.0091335e-06	0.0039939024	0.995353	0.0006476209
k	1.8603065e-07	2.3752093e-06	1.2048316e-05	0.23141539	0.76845866	0.000111324145
a	9.2437294e-05	0.0056410376	0.024924321	0.19097833	0.14531775	0.6330461
t	8.503862e-08	4.545311e-07	3.7610647e-07	0.00064758176	0.7443133	0.2550382
o	1.4211198e-08	6.706452e-07	8.915203e-05	0.01089622	0.70817035	0.28084362
</S>	3.1381438e-07	6.4105893e-06	1.7059223e-05	0.0001942602	0.40696174	0.5928202
