 	era	molto	stanco	</S>
ì	0.54549724	0.009653285	0.026988585	0.41786093
o	0.9952047	0.0022766017	0.0022984257	0.00022027986
n	0.7509117	0.24123877	0.007179011	0.0006705481
e	0.5748358	0.40957105	0.013005841	0.002587323
p	0.045462705	0.8959372	0.04642131	0.01217875
o	0.022964811	0.87322265	0.04009617	0.06371642
d	0.00065999356	0.94750524	0.03969276	0.012142098
d	0.005935731	0.6966741	0.26462543	0.032764737
h	0.13829878	0.070047855	0.033616316	0.7580371
ì	0.020672873	0.44782904	0.022806685	0.5086914
s	0.00038829527	0.34203717	0.57304865	0.08452589
t	0.0005399219	0.32878804	0.6004754	0.07019662
r	0.010032284	0.036601644	0.037762783	0.9156033
à	0.0015574493	0.016917285	0.112381466	0.8691438
k	0.00010372769	0.010255845	0.257449	0.73219144
k	6.502075e-05	0.0053633354	0.50393295	0.49063864
o	0.0017922322	0.002859173	0.007093508	0.98825514
</S>	8.365253e-06	0.0019574377	0.053326506	0.94470775
