 	vuole	pianto	</S>
i	0.33876798	0.56475735	0.09647468
t	0.99315476	0.0053739403	0.0014713296
è	0.922769	0.07539747	0.0018335262
l	0.9840845	0.013600506	0.0023150435
i	0.8692603	0.13032757	0.0004121554
k	0.0024082935	0.9592106	0.038381193
l	0.007895926	0.49924287	0.49286118
a	0.021685809	0.89938223	0.07893205
m	7.26187e-05	0.19064571	0.80928165
m	0.00045281593	0.40607563	0.5934716
è	0.00046969115	0.19504638	0.8044839
n	0.0001840523	0.061678007	0.93813795
o	0.0009156299	0.032514215	0.96657014
</S>	7.454203e-05	0.015718112	0.9842074
