 	è	possibile	che	è	entrato	da	qui	</S>
i	0.9634664	0.021212408	0.000116181865	0.00034560883	0.0024313428	0.00014935	0.00018243022	0.012096232
s	0.057970922	0.93359077	0.006380911	0.0011594974	0.00029969955	0.00011492553	0.0002628442	0.00022044174
o	0.004346997	0.9930298	0.0017515917	0.00017636141	6.187208e-05	0.00020356922	0.0002941223	0.00013562715
g	0.0026347258	0.8783304	0.09472562	0.011583572	0.004382579	0.0026992345	0.0034915751	0.002152323
g	0.0020401126	0.9830549	0.012645929	0.0009276135	0.00023287743	0.0002115699	0.0005434438	0.00034350745
è	0.06379397	0.6484077	0.021372829	0.012432608	0.014772623	0.003043019	0.0057037515	0.2304735
s	0.03297715	0.82485265	0.07596518	0.016173873	0.018687325	0.0059777116	0.0005714887	0.02479463
t	0.03755165	0.5475555	0.23820718	0.013994312	0.033226904	0.045838956	0.016191106	0.067434385
e	0.11007151	0.17438851	0.10902635	0.017192367	0.03663737	0.016484868	0.0065385806	0.52966046
k	3.7946254e-05	0.0027646879	0.3944481	0.3428401	0.112327896	0.09890947	0.0008603751	0.047811434
a	7.8838864e-05	0.0025674296	0.57290953	0.07486968	0.06744511	0.15132314	0.02611391	0.1046924
m	1.1245694e-05	2.2753611e-05	0.07025112	0.091500215	0.068861336	0.7382894	0.004595999	0.026467944
b	0.00022948965	0.00029647202	0.1307985	0.04539863	0.028257903	0.5520757	0.09187477	0.1510685
ì	0.002696926	0.002743506	0.11650266	0.049666855	0.040466875	0.040565018	0.059958015	0.6874001
k	0.0015852434	0.012517725	0.006040328	0.038228437	0.26058507	0.2093838	0.013343793	0.45831558
e	4.666294e-05	0.00014255795	0.016498921	0.021382554	0.13488592	0.46458954	0.1442199	0.21823394
a	6.899351e-07	9.773138e-07	7.6956596e-05	0.00034250034	0.0042897575	0.88575494	0.010617449	0.09891678
p	3.6546793e-05	1.4699443e-05	0.00031644042	0.0058881724	0.033894595	0.3785103	0.42248514	0.15885404
ò	0.000322043	7.2104216e-05	0.000114541195	0.0007754552	0.001956557	0.032665495	0.95181215	0.01228174
t	9.574968e-07	3.2372213e-08	8.359572e-05	0.0017593562	0.0007221981	0.005250169	0.97601604	0.016167758
t	1.4482737e-08	7.341916e-09	4.4709423e-06	0.00013155909	8.4146595e-05	0.0004769958	0.9874035	0.011899335
u	3.327215e-05	1.9066016e-05	0.00706131	0.07230078	0.068416975	0.014875454	0.40674213	0.4305511
</S>	1.3617258e-06	6.1703753e-07	4.5687398e-06	9.260358e-05	0.0006456901	0.0031703422	0.052478515	0.9436063
