 	stava	ancora	cucinando	</S>
ì	0.67924863	0.0049351985	0.14094728	0.17486888
s	0.9989555	0.00031991213	0.00050303835	0.0002216366
t	0.99889106	0.0008445236	0.00015234783	0.000112168425
i	0.48500904	0.030645065	0.036348492	0.44799745
g	0.67146236	0.16324598	0.05858607	0.10670563
g	0.6567441	0.21851808	0.039120227	0.085617565
h	0.58393943	0.0935463	0.026346417	0.2961678
e	0.13249129	0.16160667	0.09108773	0.61481434
a	0.0029227226	0.87346596	0.067079015	0.056532267
n	0.0019250206	0.9454194	0.040874906	0.011780553
k	0.00053221453	0.9285161	0.06708326	0.0038684423
ò	0.01965909	0.1500928	0.24550453	0.58474356
r	0.0025638966	0.04801197	0.13273443	0.8166897
a	0.00021136926	0.35832968	0.5265694	0.11488951
m	9.651374e-06	0.010890537	0.6732919	0.31580794
a	7.5068925e-07	0.032279067	0.7898483	0.17787178
r	3.2585885e-06	0.001065544	0.7684196	0.23051158
è	2.7772855e-06	0.0037130057	0.782061	0.21422319
o	3.948108e-07	0.0015121503	0.8168798	0.18160771
n	4.2377364e-05	0.00039332677	0.22181813	0.77774614
t	8.411699e-07	0.0023612299	0.98677665	0.010861242
a	2.344024e-06	0.0057275724	0.5089513	0.4853188
</S>	9.792826e-05	0.00023539872	0.12745352	0.8722132
