 	ho	messo	uno	specchio	sul	muro	</S>
è	0.87142843	0.05046715	0.00251604	0.0012804447	0.0009443127	0.00070476095	0.07265883
v	0.16786948	0.8203193	0.010474302	0.000689069	4.3685563e-05	0.00016987669	0.000434238
a	0.086866714	0.8992489	0.010758074	0.0023243367	0.0005358418	0.00016645847	9.970992e-05
l	0.0048941174	0.8262972	0.16079004	0.006142604	0.0003767778	0.00037812442	0.001121174
a	0.006226738	0.09866253	0.8212259	0.07101057	0.0022619492	0.0001122047	0.0005002716
è	0.00032130757	0.094515085	0.8260007	0.06115082	0.002933385	0.005444489	0.009634058
n	8.385801e-05	0.0075999657	0.9895629	0.0023348404	1.6427317e-05	9.6942116e-05	0.00030510634
a	0.00014300391	0.030615164	0.9497396	0.018799247	0.0006582114	2.515009e-05	1.9574101e-05
n	2.7907376e-05	0.0007535182	0.6370317	0.34964228	0.0102738235	0.0010188356	0.0012519528
j	8.5608576e-07	6.075295e-05	0.105056375	0.8666713	0.025556419	0.000849429	0.0018047836
a	0.014046806	0.0037351258	0.11549019	0.22339283	0.17975368	0.04739242	0.41618896
l	1.0177844e-05	0.00072407885	0.045376673	0.7862164	0.049897972	0.014915994	0.10285864
ì	8.469601e-05	0.00084940984	0.08144868	0.18475112	0.21569665	0.21911177	0.29805765
s	2.9140963e-05	0.001862568	0.11164554	0.19295126	0.42700425	0.08079431	0.18571292
t	3.8575877e-07	3.448507e-05	0.030734746	0.31482583	0.3710935	0.21721792	0.06609312
o	0.0004150242	0.0004374012	0.028579991	0.07424746	0.2571824	0.02281731	0.61632043
t	1.1872309e-06	3.4998973e-06	0.0010426119	0.09828698	0.23171453	0.22998892	0.43896228
ì	6.991381e-08	2.7605008e-06	8.342159e-05	0.013030298	0.09891761	0.80831623	0.07964962
c	1.1848828e-07	1.0262779e-07	0.0033182635	0.0048083826	0.041731812	0.7248092	0.22533214
h	4.107541e-06	0.000414063	0.058888506	0.028339673	0.04120493	0.5356808	0.335468
o	1.2387451e-05	5.034944e-05	0.0062478306	0.017741151	0.6499939	0.20401223	0.121942155
</S>	1.2507806e-05	2.8643326e-05	0.0001131136	0.0010872046	0.03584726	0.06820102	0.89471024
