 	l	ho	sentito	che	viene	</S>
o	0.7840568	0.08992381	0.0008751424	0.00072648405	0.028312301	0.096105374
n	0.19680434	0.68184924	0.11384439	0.0044058105	0.0011176579	0.0019785292
ì	0.09812851	0.65296066	0.22625624	0.01365963	0.0068508238	0.0021440575
k	0.009708963	0.72933954	0.23828511	0.017446674	0.0032407884	0.0019789592
u	0.06439544	0.68978816	0.19766702	0.028365154	0.016281623	0.0035025738
s	0.00033103235	0.004252504	0.24226782	0.56533676	0.15344533	0.034366585
a	2.8244342e-05	0.0027162943	0.22093005	0.67645425	0.07812594	0.02174527
n	5.8487e-05	0.00019697721	0.010612143	0.4364912	0.47021455	0.08242663
a	7.2667162e-06	0.00030967305	0.019894842	0.7705991	0.1818117	0.027377306
r	4.158041e-05	0.00010613628	0.001360972	0.14229645	0.7095004	0.14669445
t	1.4615284e-06	0.00023746763	0.0055741924	0.19432245	0.711859	0.08800547
i	0.0020686802	0.002880763	0.0031240042	0.025511744	0.6300025	0.33641237
</S>	1.8385438e-06	1.3287932e-05	6.9192545e-05	0.0062655522	0.30268806	0.6909621
