 	il	ladro	poteva	entrare	da	qui	</S>
o	0.8910755	0.033356953	0.004035258	0.011212686	0.00091586297	0.00081971934	0.058583934
l	0.6276371	0.34068108	0.022268713	0.00619382	0.0006763647	0.001359188	0.001183703
à	0.53828925	0.44008616	0.020946437	0.00056911935	3.0248435e-05	5.9162594e-05	1.9548641e-05
d	0.035651233	0.92247355	0.036284324	0.005134289	8.056521e-05	0.00027158446	0.00010446814
r	0.049898118	0.71692616	0.22680575	0.005060824	0.00016350504	0.0010138854	0.00013177916
o	0.56302035	0.024569845	0.112616315	0.012586144	0.0066177296	0.0062244637	0.27436516
ì	0.0011030509	0.050153527	0.7087275	0.012562978	0.034942757	0.0021964042	0.19031385
s	0.00020924487	0.09199806	0.89160144	0.015470241	0.0001856303	0.00031390414	0.00022156758
o	0.0001689757	0.036621068	0.9614789	0.0015846505	4.017343e-05	9.795011e-05	8.128923e-06
z	1.3049415e-05	0.00050291803	0.8963958	0.08066754	0.018300725	0.003248943	0.0008709843
e	3.9919876e-05	0.0010319458	0.40500918	0.47607374	0.076114066	0.016476024	0.025255153
è	7.414421e-06	6.864406e-05	0.105721734	0.30597547	0.56003433	0.004497473	0.023694932
m	2.4692517e-07	0.0011926434	0.0023002576	0.94008124	0.04051775	0.014926061	0.000981901
b	3.2490866e-06	0.009294791	0.08656171	0.79405504	0.034966957	0.07445757	0.0006606207
i	0.0012826383	0.08813881	0.039088618	0.1816747	0.020793252	0.15737966	0.51164234
a	3.2301741e-06	5.3975247e-05	0.0044785263	0.021415813	0.61994636	0.041663103	0.31243902
p	2.9574765e-06	4.0552397e-05	0.00043012036	0.045485128	0.5643179	0.27280304	0.11692029
ò	2.7116657e-06	2.1634743e-05	3.9028833e-05	0.004756733	0.05635505	0.80711836	0.13170643
t	6.6598274e-09	4.3418822e-05	1.34766915e-05	0.010732118	0.014758001	0.87950844	0.09494461
t	2.122974e-09	6.084247e-07	1.262331e-06	0.0010043065	0.0014562601	0.9627712	0.034766376
u	6.4511773e-06	0.00015362205	0.00025931947	0.026474547	0.027517913	0.40041247	0.5451757
</S>	1.200782e-06	1.3636527e-05	3.927267e-06	5.3662206e-05	0.0034559756	0.052730218	0.94374144
